instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g47,g82,ll,39,48,1915652203,1000.02,1,201844466,58.292,1662987773,1662987773,0,,,0,MISSING_DATA
g47,g83,ll,41,54,1926879223,1000.02,1,1166894255,594.173,1490338808,1490338808,0,,,0,MISSING_DATA
g47,g84,ll,45,81,2492645577,1000.03,1,84894782,31.3293,1660104991,1660104991,0,,,0,MISSING_DATA
g47,g85,ll,41,40,1046001436,1000.02,1,527576517,489.99,803193115,803193115,0,,,0,MISSING_DATA
g47,g86,ll,37,33,803099392,1000.02,1,59413298,44.2546,689614392,689614392,0,,,0,MISSING_DATA
g47,g87,ll,39,51,3713488672,1000.03,1,13568,0.00459277,3236586669,3236586669,0,,,0,MISSING_DATA
g47,g88,ll,41,55,1567665414,1000.02,1,47713624,22.9736,1289463663,1289463663,0,,,0,MISSING_DATA
g47,g89,ll,36,35,1380569481,1000.02,1,177232013,106.024,1053025534,1053025534,0,,,0,MISSING_DATA
g47,g90,ll,39,48,1213151467,1000.02,1,954022659,783.089,914146341,914146341,0,,,0,MISSING_DATA
g47,g91,ll,41,57,1130154573,1000.03,1,453921548,422.46,865388994,865388994,0,,,0,MISSING_DATA
g47,g92,ll,42,52,1061270117,1000.03,1,30359323,30.1362,795896626,795896626,0,,,0,MISSING_DATA
g47,g93,ll,47,90,2226311033,1000.04,1,364799658,160.791,1554361154,1554361154,0,,,0,MISSING_DATA
g47,g94,ll,40,49,1160597210,1000.02,1,5230291,4.41847,836286479,836286479,0,,,0,MISSING_DATA
g47,g95,ll,40,45,346659227,1000.04,1,61105637,143.528,271744366,271744366,0,,,0,MISSING_DATA
g47,g96,ll,43,47,927774195,1000.02,1,92160246,82.5325,655411346,655411346,0,,,0,MISSING_DATA
g47,g97,ll,40,43,578939167,1000.04,1,482574686,801.758,479001390,479001390,0,,,0,MISSING_DATA
g47,g98,ll,40,42,1047580115,1000.02,1,158862515,144.649,763316077,763316077,0,,,0,MISSING_DATA
g47,g99,ll,40,39,770491211,1000.03,1,117362660,132.634,562653524,562653524,0,,,0,MISSING_DATA
g48,g100,ll,28,16,231326151,1000.06,1,28354954,88.2235,225473384,225473384,0,,,0,MISSING_DATA
g48,g101,ll,33,30,988928478,1000.03,1,21506666,22.9405,821192725,821192725,0,,,0,MISSING_DATA
g48,g102,ll,34,34,953207316,1000.03,1,105021016,97.1581,820286013,820286013,0,,,0,MISSING_DATA
g48,g103,ll,32,32,5616891908,1000.02,1,33,0.000224889,5134232622,5134232622,0,,,0,MISSING_DATA
g48,g104,ll,38,47,634969788,1000.04,1,180321208,283.906,499091930,499091930,0,,,0,MISSING_DATA
g48,g105,ll,38,47,631302944,1000.04,1,181044707,286.887,496258884,496258884,0,,,0,MISSING_DATA
g48,g106,ll,35,44,461824146,1000.07,1,10691146,23.7184,385682384,385682384,0,,,0,MISSING_DATA
g48,g107,ll,37,50,510214665,1000.07,1,491872937,962.024,424433068,424433068,0,,,0,MISSING_DATA
g48,g108,ll,34,45,588124936,1000.08,1,59557144,46.4796,449595645,449595645,0,,,0,MISSING_DATA
g48,g109,ll,37,43,475100476,1000.08,1,48262582,93.1379,330152705,330152705,0,,,0,MISSING_DATA
g48,g110,ll,36,55,307277103,1000.11,1,35088127,120.445,276506407,276506407,0,,,0,MISSING_DATA
g48,g111,ll,35,44,340849668,1000.11,1,10697466,32.5153,283601758,283601758,0,,,0,MISSING_DATA
g48,g112,ll,34,47,241310002,1000.13,1,3387768,13.9082,194181874,194181874,0,,,0,MISSING_DATA
g48,g49,ll,32,43,6376785498,1000.02,1,6256133,0.481075,5024404499,5024404499,0,,,0,MISSING_DATA
g48,g50,ll,20,31,8510042970,1000.01,1,455855,0.0421367,7399399779,7399399779,0,,,0,MISSING_DATA
g48,g51,ll,34,40,6653095391,1000.02,1,5863765825,877.264,6047879094,6047879094,0,,,0,MISSING_DATA
g48,g52,ll,38,39,7436029935,1000.01,1,3870246741,467.782,6267106818,6267106818,0,,,0,MISSING_DATA
g48,g53,ll,34,37,6498791377,1000.01,1,5976242083,922.214,5109722175,5109722175,0,,,0,MISSING_DATA
g48,g54,ll,44,62,4231842336,1000.01,1,3929572,0.864311,3098163146,3098163146,0,,,0,MISSING_DATA
g48,g55,ll,39,52,4006310305,1000.01,1,1820869491,450.689,2972002010,2972002010,0,,,0,MISSING_DATA
g48,g56,ll,44,65,4190755693,1000.01,1,1044917544,242.742,3100327651,3100327651,0,,,0,MISSING_DATA
g48,g57,ll,22,15,2559270637,1000.02,1,23,3.53E-05,2309036547,2309036547,0,,,0,MISSING_DATA
g48,g58,ll,38,42,4891842216,1000.01,1,429059010,83.6651,4486126258,4486126258,0,,,0,MISSING_DATA
g48,g59,ll,37,41,2870955837,1000.02,1,2352571376,812.695,2794881453,2794881453,0,,,0,MISSING_DATA
g48,g60,ll,37,52,5178124850,1000.01,1,1168170061,223.436,4529308402,4529308402,0,,,0,MISSING_DATA
g48,g61,ll,37,43,3735027565,1000.02,1,3677869894,985.591,2646924354,2646924354,0,,,0,MISSING_DATA
g48,g62,ll,34,43,4191062635,1000.02,1,342661650,68.4707,3884383442,3884383442,0,,,0,MISSING_DATA
