,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
002.txt,019.txt,135995241.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0
002.txt,021.txt,412694205.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0
002.txt,022.txt,902750047.0,,,,,32.0,,29.0,,29.0
002.txt,023.txt,350758668.0,,,,,30.0,29.0,29.0,29.0,29.0
002.txt,025.txt,223.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
002.txt,026.txt,5830.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0
002.txt,027.txt,193.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0
002.txt,028.txt,3740310766.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
002.txt,029.txt,1176.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,7.0
002.txt,031.txt,316.0,6.0,6.0,6.0,6.0,9.0,6.0,6.0,6.0,6.0
002.txt,032.txt,452322338.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0
002.txt,033.txt,4319870.0,,39.0,,39.0,45.0,,39.0,,39.0
002.txt,034.txt,11294950.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0
002.txt,035.txt,2721336.0,,,,,23.0,19.0,19.0,19.0,19.0
002.txt,037.txt,1905240.0,,,,,22.0,19.0,19.0,19.0,19.0
002.txt,038.txt,824331.0,31.0,31.0,31.0,31.0,33.0,31.0,31.0,31.0,31.0
002.txt,041.txt,65141.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
002.txt,044.txt,5043.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
002.txt,045.txt,86.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
002.txt,046.txt,72589334.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
002.txt,049.txt,48596159.0,,,,44.0,46.0,,,,44.0
002.txt,051.txt,1175411833.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0
002.txt,053.txt,1029.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
002.txt,055.txt,4912980645.0,,,,,38.0,35.0,,35.0,
002.txt,057.txt,90.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
002.txt,058.txt,25338.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
002.txt,059.txt,299.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
