,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
049.txt,101.txt,6312.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0
049.txt,108.txt,70880.0,,,,,24.0,22.0,22.0,22.0,22.0
049.txt,112.txt,484586.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0
049.txt,116.txt,11769059.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
049.txt,120.txt,3761.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
049.txt,121.txt,1121.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
049.txt,125.txt,2287.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
049.txt,126.txt,61300.0,30.0,30.0,30.0,30.0,31.0,30.0,30.0,30.0,30.0
049.txt,137.txt,178667001.0,,,,,52.0,50.0,50.0,50.0,50.0
049.txt,145.txt,1587.0,,,,,16.0,15.0,15.0,15.0,15.0
049.txt,148.txt,13064.0,,,,,16.0,14.0,14.0,14.0,14.0
049.txt,156.txt,1973.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
049.txt,157.txt,1116.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
049.txt,158.txt,1116.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
049.txt,159.txt,1116.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
049.txt,163.txt,289272202.0,,,,,40.0,38.0,38.0,38.0,38.0
049.txt,166.txt,951.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
049.txt,167.txt,3257.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
049.txt,168.txt,3248.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,13.0,13.0
049.txt,169.txt,7042155.0,,,,,36.0,34.0,34.0,34.0,34.0
049.txt,170.txt,3393.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
049.txt,192.txt,274450509.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
049.txt,196.txt,15230648.0,,,,,25.0,23.0,23.0,23.0,23.0
051.txt,053.txt,2920.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
051.txt,057.txt,237.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
051.txt,058.txt,3371.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
051.txt,059.txt,1065.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
051.txt,062.txt,472.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
051.txt,063.txt,21818.0,23.0,23.0,23.0,,23.0,23.0,23.0,23.0,23.0
051.txt,065.txt,723368.0,,,,,24.0,22.0,22.0,22.0,22.0
051.txt,066.txt,428419.0,,,,,20.0,19.0,19.0,19.0,19.0
051.txt,067.txt,4091.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
051.txt,068.txt,1551507.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
051.txt,069.txt,7434.0,20.0,20.0,20.0,20.0,22.0,20.0,20.0,20.0,20.0
051.txt,071.txt,674488780.0,,,,,36.0,35.0,35.0,35.0,35.0
051.txt,072.txt,63258.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
051.txt,075.txt,3093523.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0
051.txt,077.txt,242.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
051.txt,079.txt,1483.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
051.txt,080.txt,14762.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
051.txt,082.txt,14762.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
051.txt,084.txt,25456.0,20.0,20.0,20.0,20.0,22.0,20.0,20.0,20.0,20.0
051.txt,092.txt,409.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
051.txt,099.txt,91611.0,,,,,20.0,17.0,17.0,17.0,17.0
051.txt,100.txt,31203.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
051.txt,101.txt,969.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0
051.txt,107.txt,82933613.0,,,,,36.0,35.0,35.0,35.0,35.0
051.txt,108.txt,9351111.0,,,,,23.0,22.0,22.0,22.0,22.0
051.txt,112.txt,321879.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0
051.txt,116.txt,185268.0,19.0,19.0,19.0,19.0,21.0,19.0,19.0,19.0,19.0
051.txt,120.txt,2065.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
051.txt,121.txt,215.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
051.txt,125.txt,223.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
051.txt,126.txt,566145.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
051.txt,145.txt,629.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
051.txt,148.txt,4896.0,,,,,17.0,15.0,15.0,15.0,15.0
051.txt,156.txt,622.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
051.txt,157.txt,491.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
051.txt,158.txt,491.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
051.txt,159.txt,491.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
051.txt,163.txt,1159977917.0,,,,,38.0,37.0,37.0,37.0,37.0
051.txt,166.txt,228.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
051.txt,167.txt,1450.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
051.txt,168.txt,57913.0,12.0,,12.0,12.0,15.0,12.0,12.0,12.0,12.0
051.txt,169.txt,16943636.0,,,,,36.0,33.0,33.0,33.0,33.0
051.txt,170.txt,3625.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
051.txt,171.txt,4607254.0,33.0,33.0,33.0,,35.0,33.0,33.0,33.0,33.0
051.txt,192.txt,48007313.0,27.0,27.0,27.0,27.0,28.0,27.0,27.0,27.0,27.0
051.txt,196.txt,31577459.0,,,,,24.0,21.0,21.0,21.0,21.0
053.txt,055.txt,989.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,056.txt,10047.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,057.txt,3371.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
053.txt,058.txt,29263.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
053.txt,059.txt,3569.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
053.txt,061.txt,15820.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,062.txt,329.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
053.txt,063.txt,105209.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
053.txt,064.txt,4084.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,065.txt,1004.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,066.txt,31004.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
053.txt,067.txt,647.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,068.txt,9675.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0
053.txt,069.txt,3847.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
053.txt,070.txt,23978.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,071.txt,2382.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,072.txt,717.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
053.txt,073.txt,1798.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,074.txt,2350.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,075.txt,42463.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
053.txt,077.txt,2254.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
053.txt,078.txt,1798.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,079.txt,519.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
053.txt,080.txt,27076.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
053.txt,081.txt,3811.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,082.txt,27076.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
053.txt,083.txt,2350.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,084.txt,5148.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
053.txt,085.txt,1193.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,086.txt,1776.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,087.txt,5510.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
053.txt,088.txt,8258.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,089.txt,1672.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,090.txt,2878.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,091.txt,2244.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,092.txt,1834.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
053.txt,093.txt,1881.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,094.txt,1866.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,095.txt,1523.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,096.txt,1542.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,097.txt,1542.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
053.txt,099.txt,502.0,12.0,12.0,12.0,12.0,16.0,12.0,12.0,12.0,12.0
053.txt,100.txt,12138.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
053.txt,101.txt,7333.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
053.txt,102.txt,2717.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,103.txt,1530.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,105.txt,8426.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,106.txt,6380.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,107.txt,1040.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,108.txt,933.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,109.txt,3209.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0
053.txt,111.txt,1930.0,13.0,13.0,13.0,13.0,16.0,13.0,13.0,13.0,13.0
053.txt,112.txt,739.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,116.txt,256452.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
053.txt,120.txt,587.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
053.txt,121.txt,7039.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
053.txt,122.txt,6675.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,123.txt,6675.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,125.txt,497.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
053.txt,126.txt,1156.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,137.txt,1979.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,139.txt,1483.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,140.txt,1483.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,143.txt,2024.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,144.txt,793.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
053.txt,145.txt,2973.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
053.txt,146.txt,5797.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,147.txt,1353.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,148.txt,195041.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
053.txt,149.txt,2657.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,151.txt,5511.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,152.txt,5185.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,153.txt,8359.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,156.txt,69.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
053.txt,157.txt,106.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
053.txt,158.txt,106.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
053.txt,159.txt,106.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
053.txt,160.txt,2680.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,161.txt,13861.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,162.txt,26235.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,163.txt,1700.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,164.txt,3316.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
053.txt,165.txt,6539.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
053.txt,166.txt,664.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
053.txt,167.txt,62199.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
053.txt,168.txt,932.0,10.0,10.0,10.0,10.0,13.0,10.0,10.0,10.0,10.0
053.txt,169.txt,2313.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
053.txt,170.txt,469.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,171.txt,866.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
053.txt,172.txt,5849.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,173.txt,5192.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,176.txt,6511.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,177.txt,7796.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,192.txt,2094.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
053.txt,196.txt,1423.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
055.txt,056.txt,3000827.0,39.0,39.0,39.0,39.0,42.0,39.0,39.0,39.0,39.0
055.txt,057.txt,816.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
055.txt,058.txt,24840.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
055.txt,059.txt,356.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
055.txt,062.txt,422.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
055.txt,063.txt,45839.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
055.txt,065.txt,115065.0,22.0,22.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0
055.txt,066.txt,1984889.0,,,,,17.0,17.0,17.0,17.0,17.0
055.txt,067.txt,37292.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
055.txt,068.txt,119547.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
055.txt,069.txt,85105.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
055.txt,070.txt,3767351631.0,,,,,42.0,,,,
055.txt,071.txt,66228229.0,,,,,32.0,30.0,30.0,30.0,30.0
055.txt,072.txt,10654.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
055.txt,073.txt,246535685.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
055.txt,074.txt,46072933.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
055.txt,075.txt,214562.0,,,,,23.0,21.0,21.0,21.0,21.0
055.txt,077.txt,5441.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
055.txt,078.txt,246535685.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,39.0
055.txt,079.txt,780.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
055.txt,080.txt,130071.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
055.txt,082.txt,130071.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
055.txt,083.txt,46072933.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
055.txt,084.txt,1111291.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
055.txt,085.txt,2431798154.0,35.0,,35.0,,38.0,35.0,,35.0,
055.txt,087.txt,571503872.0,38.0,38.0,38.0,38.0,41.0,38.0,38.0,38.0,38.0
055.txt,088.txt,1949025777.0,,,,,43.0,,,,
055.txt,089.txt,72161.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
055.txt,090.txt,3588288868.0,34.0,,34.0,,37.0,34.0,,34.0,
055.txt,091.txt,210287738.0,,,,,32.0,31.0,31.0,31.0,31.0
055.txt,092.txt,556.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
055.txt,093.txt,1027603248.0,,37.0,37.0,,41.0,,37.0,37.0,
055.txt,094.txt,294138953.0,,36.0,,,41.0,,36.0,,
055.txt,095.txt,344.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
055.txt,096.txt,757.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
055.txt,097.txt,757.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
055.txt,099.txt,5349.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0
055.txt,100.txt,614.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
055.txt,101.txt,346.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
055.txt,102.txt,3811910585.0,36.0,,36.0,,38.0,36.0,,36.0,
055.txt,103.txt,5377209675.0,,38.0,,,42.0,,38.0,,
055.txt,106.txt,4200309176.0,38.0,38.0,38.0,38.0,41.0,38.0,38.0,38.0,38.0
055.txt,108.txt,25231.0,,,,,22.0,20.0,20.0,20.0,20.0
055.txt,109.txt,15177.0,,,,,43.0,,,,
055.txt,111.txt,24135658.0,,,,,27.0,25.0,25.0,25.0,25.0
055.txt,112.txt,132811.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0
055.txt,116.txt,1269013.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
055.txt,120.txt,909.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
055.txt,121.txt,6264.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
055.txt,125.txt,633.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
055.txt,126.txt,671718.0,,,,,27.0,26.0,26.0,26.0,26.0
055.txt,143.txt,304408386.0,,,,,32.0,29.0,29.0,29.0,29.0
055.txt,144.txt,429407165.0,40.0,40.0,40.0,40.0,42.0,40.0,40.0,40.0,40.0
055.txt,145.txt,245.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
055.txt,146.txt,42924859.0,39.0,39.0,39.0,39.0,41.0,39.0,39.0,39.0,39.0
055.txt,147.txt,142038265.0,39.0,39.0,39.0,39.0,42.0,39.0,39.0,39.0,39.0
055.txt,148.txt,1319.0,,,,,14.0,13.0,13.0,13.0,13.0
055.txt,149.txt,547648460.0,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0
055.txt,151.txt,591136178.0,,,,,42.0,,,,
055.txt,153.txt,17473139.0,,,,,43.0,,,,
055.txt,156.txt,394.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
055.txt,157.txt,445.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
055.txt,158.txt,445.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
055.txt,159.txt,445.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
055.txt,160.txt,326461227.0,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0
055.txt,161.txt,1778748975.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0
055.txt,163.txt,85622536.0,34.0,,34.0,,36.0,34.0,34.0,34.0,34.0
055.txt,166.txt,103.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
055.txt,167.txt,112640.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
055.txt,168.txt,450.0,12.0,12.0,12.0,12.0,14.0,12.0,12.0,12.0,12.0
055.txt,169.txt,4948516.0,,,,,32.0,31.0,31.0,31.0,31.0
055.txt,170.txt,26767.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
055.txt,171.txt,824220.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,31.0
055.txt,192.txt,12563636.0,,,,,25.0,23.0,23.0,23.0,23.0
055.txt,196.txt,3539201.0,,,,,22.0,20.0,20.0,20.0,20.0
056.txt,057.txt,779.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
056.txt,058.txt,251429.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0
056.txt,059.txt,633.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
056.txt,062.txt,934.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
056.txt,063.txt,95003.0,,,,,22.0,21.0,21.0,21.0,21.0
056.txt,065.txt,98254.0,,,,,24.0,22.0,22.0,22.0,22.0
056.txt,066.txt,2245345.0,,,,,19.0,19.0,19.0,19.0,19.0
056.txt,067.txt,1787.0,,,21.0,,23.0,21.0,21.0,21.0,21.0
056.txt,068.txt,388581.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0
056.txt,069.txt,31536.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
056.txt,071.txt,586630956.0,,,,,35.0,34.0,34.0,34.0,34.0
056.txt,072.txt,5673.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
056.txt,075.txt,8858437.0,,,,,24.0,22.0,22.0,22.0,22.0
056.txt,077.txt,528.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
056.txt,079.txt,556.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
056.txt,080.txt,19459.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
056.txt,082.txt,19459.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
056.txt,084.txt,2224508078.0,,,,,19.0,18.0,18.0,18.0,18.0
056.txt,091.txt,3091546548.0,,,,,35.0,33.0,33.0,33.0,33.0
056.txt,092.txt,1595.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
056.txt,099.txt,23501.0,18.0,18.0,18.0,,20.0,18.0,18.0,18.0,18.0
056.txt,100.txt,2595.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
056.txt,101.txt,2006.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
056.txt,107.txt,116345.0,,,,,36.0,34.0,34.0,34.0,34.0
056.txt,108.txt,71892.0,,,,,23.0,22.0,22.0,22.0,22.0
056.txt,111.txt,819463714.0,,,,,28.0,26.0,26.0,26.0,26.0
056.txt,112.txt,277319.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
056.txt,116.txt,527676.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
056.txt,120.txt,1464.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
056.txt,121.txt,16745.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
056.txt,125.txt,691.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
056.txt,126.txt,2211158.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
056.txt,143.txt,484491018.0,,,,,34.0,33.0,33.0,33.0,33.0
056.txt,145.txt,1070.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
056.txt,148.txt,2303.0,,,,,16.0,14.0,14.0,14.0,14.0
056.txt,156.txt,171.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
056.txt,157.txt,164.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
056.txt,158.txt,164.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
056.txt,159.txt,164.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
056.txt,163.txt,109899961.0,,,,,39.0,37.0,37.0,37.0,37.0
056.txt,166.txt,306.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
056.txt,167.txt,8122.0,17.0,17.0,17.0,17.0,19.0,17.0,17.0,17.0,17.0
056.txt,168.txt,459.0,,,,,15.0,12.0,12.0,12.0,12.0
056.txt,169.txt,10736732.0,,,,,34.0,33.0,33.0,33.0,33.0
056.txt,170.txt,1767.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
056.txt,171.txt,1348044.0,,,,,34.0,32.0,32.0,32.0,32.0
056.txt,192.txt,18013326.0,,,,,28.0,26.0,26.0,26.0,26.0
056.txt,196.txt,7057214.0,,,,,23.0,21.0,21.0,21.0,21.0
