instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,161.txt,dal,44,56,1141828107,159.607,0,46,1056091833,147.814,826648515,44,14653260,1.651,PASS
001.txt,162.txt,dal,42,46,5273179056,1000.01,1,46,1588344855,232.84,4081618708,,,0,MISSING_DATA
001.txt,163.txt,dal,34,29,4040941086,603.049,0,42,460044759,59.3763,3050751966,,,0,MISSING_DATA
001.txt,164.txt,dal,45,62,14830132,1.63165,0,46,13068750,1.46332,9407809,45,26821368,2.824,PASS
001.txt,165.txt,dal,43,48,3111544419,347.957,0,46,149039752,16.0832,2038098425,43,886726117,102.203,PASS
001.txt,166.txt,dal,9,8,114,8.06E-05,0,9,10,1.02E-05,105,9,34,0,PASS
001.txt,167.txt,dal,18,21,57068,0.0052639,0,20,19,1.97E-05,36252,18,229064,0.025,PASS
001.txt,168.txt,dal,14,13,1015,0.000210799,0,15,15,1.62E-05,651,14,24628,0.003,PASS
001.txt,169.txt,dal,33,36,6875949,0.850928,0,37,1495531,0.135549,4946618,,,0,MISSING_DATA
001.txt,170.txt,dal,24,25,315,0.000133843,0,24,214,6.25E-05,268,24,131,0,PASS
001.txt,171.txt,dal,32,30,52562732,4.23042,0,35,12468054,1.03352,37428078,32,5287167448,563.941,PASS
001.txt,172.txt,dal,34,33,12927586022,1000.02,1,46,359675,0.0238358,11254823428,,,0,MISSING_DATA
001.txt,173.txt,dal,38,37,7148714536,1000.02,1,46,1027319,0.144619,6328780066,,,0,MISSING_DATA
001.txt,176.txt,dal,34,33,14426921615,1000.01,1,46,359675,0.0241737,12714548587,,,0,MISSING_DATA
001.txt,177.txt,dal,36,30,4949731050,1000.02,1,46,128446593,19.3394,4169084945,,,0,MISSING_DATA
001.txt,192.txt,dal,26,34,27991189,3.138,0,31,118123,0.0132431,21158782,26,3360993229,465.475,PASS
001.txt,196.txt,dal,22,32,8427042,1.01427,0,27,4499365,0.480016,6680310,22,1803674243,261.518,PASS
002.txt,003.txt,dal,10,8,116,6.81E-05,0,10,11,9.13E-06,106,10,37,0,PASS
002.txt,004.txt,dal,12,12,114,6.51E-05,0,12,19,1.15E-05,101,12,44,0,PASS
002.txt,007.txt,dal,33,28,16917344583,1000.02,1,42,3742895301,268.963,14344897414,,,0,MISSING_DATA
002.txt,008.txt,dal,17,19,2182,0.000372858,0,18,586,0.000121833,1796,17,1775629,0.184,PASS
002.txt,009.txt,dal,34,43,10092982855,1000.01,1,47,129416641,11.7024,8357873773,,,0,MISSING_DATA
002.txt,010.txt,dal,16,18,41193,0.00395235,0,18,17,1.56E-05,26374,16,212988,0.029,PASS
002.txt,011.txt,dal,36,43,11243875613,1000.01,1,47,1296211,0.112186,8612064582,,,0,MISSING_DATA
002.txt,012.txt,dal,18,18,2107,0.000282704,0,18,2039,0.000231216,1341,18,192459,0.02,PASS
002.txt,013.txt,dal,37,39,17015421595,1000.01,1,47,748116666,67.9194,14547288951,,,0,MISSING_DATA
002.txt,014.txt,dal,39,51,4148182477,1000.01,1,47,12869019,2.70611,3030288197,46,1493707676,484.425,FAIL
002.txt,015.txt,dal,31,36,14423012188,1000.02,1,47,383445,0.0180821,12199023880,,,0,MISSING_DATA
002.txt,017.txt,dal,27,41,345049238,30.4517,0,32,283744387,22.6428,254292310,,,0,MISSING_DATA
002.txt,018.txt,dal,31,37,7347467678,1000.02,1,47,4141669231,562.652,6685127276,,,0,MISSING_DATA
002.txt,019.txt,dal,46,76,205510710,30.7511,0,47,205468157,30.7404,135995241,46,933298504,170.665,PASS
002.txt,021.txt,dal,33,33,544989947,48.138,0,36,475503051,41.3526,412694205,,,0,MISSING_DATA
002.txt,022.txt,dal,32,38,1136243516,111.282,0,38,27038429,2.97802,902750047,,,0,MISSING_DATA
002.txt,023.txt,dal,30,42,414843951,49.727,0,35,328745539,38.2217,350758668,,,0,MISSING_DATA
002.txt,025.txt,dal,11,16,304,9.42E-05,0,12,85,2.32E-05,223,11,3755,0,PASS
002.txt,026.txt,dal,25,39,9091,0.00123866,0,27,857,0.00011956,5830,25,108693,0.012,PASS
002.txt,027.txt,dal,8,11,235,8.25E-05,0,9,92,2.02E-05,193,8,2709,0,PASS
002.txt,028.txt,dal,35,42,5121159208,574.686,0,43,534260253,53.8609,3740310766,,,0,MISSING_DATA
002.txt,029.txt,dal,10,18,1489,0.000279248,0,13,258,5.13E-05,1176,10,11623,0.001,PASS
002.txt,030.txt,dal,34,41,9538311457,1000.02,1,47,14392241,1.3348,7170865866,,,0,MISSING_DATA
