instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g68,rl,37,64,3605121789,1000.02,1,5384,0.00163821,2388418544,2388418544,0,,,0,MISSING_DATA
g10,g69,rl,33,42,2671655295,1000.02,1,6803718,2.15111,2015445198,2015445198,0,,,0,MISSING_DATA
g10,g70,rl,32,41,1893625749,1000.02,1,81791732,38.5228,1521613579,1521613579,0,,,0,MISSING_DATA
g10,g71,rl,33,43,3053458254,1000.02,1,133408432,46.1804,2239562800,2239562800,0,,,0,MISSING_DATA
g10,g72,rl,25,24,1233386564,1000.02,1,392343,0.296223,1204662613,1204662613,0,,,0,MISSING_DATA
g10,g73,rl,28,33,2092541460,1000.01,1,262069754,124.46,1953787407,1953787407,0,,,0,MISSING_DATA
g10,g74,rl,22,18,1968386892,1000.01,1,23,6.38E-05,1961599600,1961599600,0,,,0,MISSING_DATA
g10,g75,rl,25,23,2307400942,1000.02,1,7116,0.00242516,2192554181,2192554181,0,,,0,MISSING_DATA
g10,g76,rl,18,10,3656123422,1000.02,1,296725,0.0874637,3612028950,3612028950,0,,,0,MISSING_DATA
g10,g77,rl,12,0,1968470534,1000.02,1,13,3.58E-05,1960405912,1960405912,0,,,0,MISSING_DATA
g10,g78,rl,31,45,3037940888,1000.02,1,108370386,38.06,2468879207,2468879207,0,,,0,MISSING_DATA
g10,g79,rl,32,43,2420068943,1000.02,1,33,8.21E-05,2029148276,2029148276,0,,,0,MISSING_DATA
g10,g80,rl,29,33,757815739,1000.02,1,8923150,11.9613,672707290,672707290,0,,,0,MISSING_DATA
g10,g81,rl,30,36,1721160955,1000.02,1,604199904,302.431,1490504672,1490504672,0,,,0,MISSING_DATA
g10,g82,rl,30,36,918592761,1000.03,1,604199904,610.261,793865548,793865548,0,,,0,MISSING_DATA
g10,g83,rl,31,39,1031368875,1000.02,1,36583172,26.3454,735059377,735059377,0,,,0,MISSING_DATA
g10,g84,rl,29,38,5581815857,1000.03,1,347095579,97.4651,5305659095,5305659095,0,,,0,MISSING_DATA
g10,g85,rl,27,26,444260409,1000.03,1,35048,0.0381673,365230375,365230375,0,,,0,MISSING_DATA
g10,g86,rl,27,26,444302605,1000.02,1,35044,0.0379689,365530643,365530643,0,,,0,MISSING_DATA
g10,g87,rl,30,37,1053461285,1000.02,1,61339809,31.8872,828167202,828167202,0,,,0,MISSING_DATA
g10,g88,rl,32,42,995246503,1000.03,1,132369,0.129963,820270225,820270225,0,,,0,MISSING_DATA
g10,g89,rl,28,28,1204617553,1000.02,1,2129953,2.26321,950077132,950077132,0,,,0,MISSING_DATA
g10,g90,rl,31,39,1432306533,1000.03,1,188064438,124.038,1053317375,1053317375,0,,,0,MISSING_DATA
g10,g91,rl,31,40,1101596503,1000.02,1,5730,0.00904969,820789873,820789873,0,,,0,MISSING_DATA
g10,g92,rl,34,47,707160239,1000.02,1,51615,0.0503318,604247455,604247455,0,,,0,MISSING_DATA
g10,g93,rl,38,65,3868458793,1000.04,1,2684671800,649.773,2875274975,2875274975,0,,,0,MISSING_DATA
g10,g94,rl,31,39,1012558428,1000.03,1,13329,0.0107527,833466501,833466501,0,,,0,MISSING_DATA
g10,g95,rl,30,37,415822121,1000.03,1,259734,0.469201,354935308,354935308,0,,,0,MISSING_DATA
g10,g96,rl,31,39,532398061,1000.03,1,234919761,447.985,451062454,451062454,0,,,0,MISSING_DATA
g10,g97,rl,31,39,617340175,1000.03,1,487540019,796.527,490453136,490453136,0,,,0,MISSING_DATA
g10,g98,rl,30,34,578893342,1000.03,1,349784,0.325557,461313639,461313639,0,,,0,MISSING_DATA
g10,g99,rl,30,34,590890292,1000.03,1,411205,0.382646,466923951,466923951,0,,,0,MISSING_DATA
g100,g101,rl,755,429,1498476186,1000.74,1,9384,0.0142186,1002129786,1002129786,0,,,0,MISSING_DATA
g100,g102,rl,636,377,955796355,1001.2,1,878,0.00778505,595229927,595229927,0,,,0,MISSING_DATA
g100,g103,rl,503,280,1013846637,1000.81,1,2179,0.00740796,646795530,646795530,0,,,0,MISSING_DATA
g100,g104,rl,1288,683,1051909587,1004.04,1,1289,0.0231028,1049748351,1049748351,0,,,0,MISSING_DATA
g100,g105,rl,1296,696,997876033,1004.28,1,1297,0.020664,995825739,995825739,0,,,0,MISSING_DATA
g100,g106,rl,1436,910,1186030468,1006.82,1,4738848,3.92236,1146144276,1146144276,0,,,0,MISSING_DATA
g100,g107,rl,1419,888,406483729,1008.92,1,41312812,95.5472,400241362,400241362,0,,,0,MISSING_DATA
g100,g108,rl,1412,876,474512509,1007.17,1,119716,0.279304,458950232,458950232,0,,,0,MISSING_DATA
g100,g109,rl,1694,1362,3042523181,1015.15,1,229773,0.172362,2336310699,2336310699,0,,,0,MISSING_DATA
g100,g110,rl,1292,649,993203473,1005.68,1,82307,0.0739432,727615509,727615509,0,,,0,MISSING_DATA
g100,g111,rl,1464,958,411183302,1010.71,1,131426,0.377437,378385797,378385797,0,,,0,MISSING_DATA
g100,g112,rl,1495,997,733661548,1016.21,1,220995,0.318984,703188334,703188334,0,,,0,MISSING_DATA
g101,g102,rl,831,798,2681773097,1000.04,1,2096413902,743.704,1497054224,1497054224,0,,,0,MISSING_DATA
g101,g103,rl,646,648,2489604024,1000.06,1,1845,0.00927039,1297679357,1297679357,0,,,0,MISSING_DATA
g101,g104,rl,906,823,465431775,1000.16,1,96843751,211.347,368360891,368360891,0,,,0,MISSING_DATA
g101,g105,rl,899,825,537342928,1000.12,1,276166042,362.063,430034587,430034587,0,,,0,MISSING_DATA
g101,g106,rl,921,856,719154352,1000.13,1,414732,3.53051,514436673,514436673,0,,,0,MISSING_DATA
g101,g107,rl,907,835,772114272,1000.13,1,2284302,7.8097,533827805,533827805,0,,,0,MISSING_DATA
g101,g108,rl,917,854,654167897,1000.14,1,242678463,369.936,435307670,435307670,0,,,0,MISSING_DATA
g101,g109,rl,983,953,635103603,1000.15,1,834185,8.48234,447440249,447440249,0,,,0,MISSING_DATA
g101,g110,rl,982,954,1563896608,1000.12,1,151247,0.220217,1290276083,1290276083,0,,,0,MISSING_DATA
g101,g111,rl,921,856,593908253,1000.13,1,827413,6.44697,424946556,424946556,0,,,0,MISSING_DATA
g101,g112,rl,931,859,384258941,1000.16,1,8987182,40.6808,354251682,354251682,0,,,0,MISSING_DATA
g102,g103,rl,638,653,3846596451,1000.03,1,53275654,13.768,1936890337,1936890337,0,,,0,MISSING_DATA
g102,g104,rl,777,715,573635752,1000.06,1,492611200,908.246,467211331,467211331,0,,,0,MISSING_DATA
g102,g105,rl,777,728,1062004899,1000.05,1,110407652,102.253,737647936,737647936,0,,,0,MISSING_DATA
g102,g106,rl,795,743,761996939,1000.08,1,589303,2.90382,608120766,608120766,0,,,0,MISSING_DATA
g102,g107,rl,777,721,681990734,1000.1,1,614975,3.43541,595350575,595350575,0,,,0,MISSING_DATA
g102,g108,rl,776,722,709854084,1000.1,1,4571394,11.082,505621849,505621849,0,,,0,MISSING_DATA
g102,g109,rl,824,804,708192264,1000.1,1,825,0.0163301,555564321,555564321,0,,,0,MISSING_DATA
g102,g110,rl,835,831,1213258330,1000.11,1,20564,0.0904886,1036261230,1036261230,0,,,0,MISSING_DATA
g102,g111,rl,795,743,521926959,1000.13,1,931506,7.09396,416603033,416603033,0,,,0,MISSING_DATA
g102,g112,rl,753,686,490798316,1000.28,1,2509064,21.66,386626538,386626538,0,,,0,MISSING_DATA
g103,g104,rl,599,562,885249972,1000.05,1,1085119,3.1252,779197577,779197577,0,,,0,MISSING_DATA
g103,g105,rl,602,562,897850299,1000.05,1,1269403,2.81934,745608724,745608724,0,,,0,MISSING_DATA
g103,g106,rl,601,579,748980495,1000.08,1,85924720,113.21,545878601,545878601,0,,,0,MISSING_DATA
g103,g107,rl,598,548,678093412,1000.11,1,156040,0.936118,496787865,496787865,0,,,0,MISSING_DATA
g103,g108,rl,588,557,558008885,1000.12,1,3369839,9.13752,460152410,460152410,0,,,0,MISSING_DATA
g103,g109,rl,640,619,605133824,1000.12,1,66621,0.512705,504262107,504262107,0,,,0,MISSING_DATA
g103,g110,rl,644,654,955657610,1000.13,1,45692,0.247937,855015692,855015692,0,,,0,MISSING_DATA
g103,g111,rl,601,579,527898675,1000.12,1,86234384,160.699,383378210,383378210,0,,,0,MISSING_DATA
g103,g112,rl,576,518,447506245,1000.21,1,3272049,29.8541,335153361,335153361,0,,,0,MISSING_DATA
g104,g105,rl,3055,5597,467970440,1000.24,1,50316351,94.4644,463192388,463192388,0,,,0,MISSING_DATA
g104,g106,rl,1917,1504,814169406,1001.74,1,1918,0.0491239,544480667,544480667,0,,,0,MISSING_DATA
g104,g107,rl,2134,1536,173530908,1003.51,1,33772557,152.338,167633193,167633193,0,,,0,MISSING_DATA
g104,g108,rl,2196,1654,326021865,1001.84,1,50881416,112.49,296647166,296647166,0,,,0,MISSING_DATA
g104,g109,rl,1899,1242,318944440,1002.51,1,1900,0.0345754,213202009,213202009,0,,,0,MISSING_DATA
g104,g110,rl,1346,1020,655101551,1000.23,1,84468,0.0906204,569117184,569117184,0,,,0,MISSING_DATA
g104,g111,rl,2197,1629,247213017,1001.96,1,195362221,822.783,234978022,234978022,0,,,0,MISSING_DATA
g104,g112,rl,2185,1474,289931819,1002.71,1,41582569,80.7318,272069636,272069636,0,,,0,MISSING_DATA
g105,g106,rl,1936,1574,750365355,1000.89,1,1937,0.0329614,501538344,501538344,0,,,0,MISSING_DATA
g105,g107,rl,2183,1663,494259724,1001.46,1,54800372,99.1002,447680892,447680892,0,,,0,MISSING_DATA
g105,g108,rl,2231,1709,234008061,1002.02,1,134015590,538.636,229396142,229396142,0,,,0,MISSING_DATA
g105,g109,rl,1911,1282,264654942,1003.71,1,1912,0.0541193,176973865,176973865,0,,,0,MISSING_DATA
g105,g110,rl,1349,1010,451694919,1000.34,1,203297,0.262644,381901601,381901601,0,,,0,MISSING_DATA
