instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,170.txt,ll,24,25,222,9.56E-05,0,24,101,2.98E-05,186,186,0,61,24,132,0,PASS
001.txt,171.txt,ll,32,30,598357193,50.5602,0,35,575028469,48.8948,446200661,446200661,0,301098598,32,5110806755,540.106,PASS
001.txt,172.txt,ll,36,33,14245750459,1000.02,1,46,8901793002,557.543,11149207509,11149207509,0,8236539888,,,0,MISSING_DATA
001.txt,173.txt,ll,38,36,8076167740,1000.02,1,46,545957379,68.07,7175963639,7175963639,0,6291437469,,,0,MISSING_DATA
001.txt,176.txt,ll,36,36,10607998881,1000.02,1,46,1134290660,116.974,8471323328,8471323328,0,6464195835,,,0,MISSING_DATA
001.txt,177.txt,ll,37,32,9911979136,1000.02,1,46,3422228862,368.585,8324791271,8324791271,0,6796213110,,,0,MISSING_DATA
001.txt,192.txt,ll,26,30,32674079,3.75274,0,31,3230,0.000415587,27830257,27830257,0,23292353,26,3272942528,447.014,PASS
001.txt,196.txt,ll,22,22,2163252,0.279605,0,27,687112,0.0773183,1671183,1671183,0,1288745,22,1756465877,198.108,PASS
002.txt,003.txt,ll,10,8,133,8.82E-05,0,10,11,1.04E-05,123,123,0,24,10,37,0,PASS
002.txt,004.txt,ll,12,12,124,7.96E-05,0,12,13,1.33E-05,112,112,0,26,12,44,0,PASS
002.txt,007.txt,ll,32,23,10368360515,1000.02,1,42,1614506140,130.545,8212290349,8212290349,0,6389173852,,,0,MISSING_DATA
002.txt,008.txt,ll,17,18,442,0.000155156,0,18,99,3.35E-05,342,342,0,163,17,1848837,0.161,PASS
002.txt,009.txt,ll,32,25,11185710057,1000.02,1,47,412508853,33.4913,9814083216,9814083216,0,8452384387,,,0,MISSING_DATA
002.txt,010.txt,ll,16,19,23272,0.00254616,0,18,322,5.47E-05,14940,14940,0,7148,16,218709,0.024,PASS
002.txt,011.txt,ll,32,25,12364963543,1000.02,1,47,412508853,31.636,10854653733,10854653733,0,9354274073,,,0,MISSING_DATA
002.txt,012.txt,ll,18,18,20890,0.00207739,0,18,20803,0.00200534,12976,12976,0,4976,18,196303,0.014,PASS
002.txt,013.txt,ll,36,36,19748586220,1000.02,1,47,2001984276,112.57,14749894901,14749894901,0,9777316703,,,0,MISSING_DATA
002.txt,014.txt,ll,46,68,2347623605,679.781,0,47,2347623046,679.78,1702229013,1702229013,0,1058396227,46,2347623605,598.957,PASS
002.txt,015.txt,ll,36,32,11954191687,1000.02,1,47,8186345763,641.685,8402824636,8402824636,0,5556770067,,,0,MISSING_DATA
002.txt,017.txt,ll,27,27,1326993254,111.798,0,32,1310571208,109.86,889620619,889620619,0,515643586,,,0,MISSING_DATA
002.txt,018.txt,ll,34,29,7966254566,1000.01,1,47,108069250,12.714,7219425996,7219425996,0,6600809069,,,0,MISSING_DATA
002.txt,019.txt,ll,46,68,2126886497,448.404,0,47,2126886040,448.403,1384756656,1384756656,0,644400991,46,2126886497,347.642,PASS
002.txt,021.txt,ll,33,31,9492341560,800.107,0,36,9440921687,795.733,7379104017,7379104017,0,5581540047,33,10319154854,863.621,PASS
002.txt,022.txt,ll,32,28,5907415598,501.866,0,38,4769636820,394.868,4660952007,4660952007,0,3503005297,,,0,MISSING_DATA
002.txt,023.txt,ll,30,36,198589516,27.0192,0,35,194499026,26.4998,171893291,171893291,0,146481182,,,0,MISSING_DATA
002.txt,025.txt,ll,11,16,344,0.000102394,0,12,121,2.18E-05,264,264,0,110,11,3605,0,PASS
002.txt,026.txt,ll,25,33,15555,0.00159575,0,27,6718,0.000627045,9806,9806,0,4433,25,96014,0.01,PASS
002.txt,027.txt,ll,8,12,169,9.05E-05,0,9,18,1.09E-05,145,145,0,122,8,2670,0,PASS
002.txt,028.txt,ll,33,42,7594864214,1000.02,1,43,2166350,0.175527,6553416804,6553416804,0,5666586566,,,0,MISSING_DATA
002.txt,029.txt,ll,10,14,1132,0.00033095,0,13,121,3.70E-05,914,914,0,772,10,11599,0.001,PASS
002.txt,030.txt,ll,37,52,9283353507,1000.02,1,47,152627,0.0153987,6335943163,6335943163,0,3923898697,,,0,MISSING_DATA
002.txt,031.txt,ll,9,11,219,9.47E-05,0,10,56,1.76E-05,187,187,0,124,9,3965,0,PASS
002.txt,032.txt,ll,44,54,5360287943,605.788,0,47,5355446624,605.152,3532513988,3532513988,0,1734270551,44,5360287943,515.241,PASS
002.txt,033.txt,ll,45,60,22590412,1.92751,0,47,22576323,1.92601,14934607,14934607,0,7744391,45,22590412,1.84,PASS
002.txt,034.txt,ll,26,23,62504292,5.42995,0,27,50929695,4.75269,48116952,48116952,0,35940479,26,2009172464,177.744,PASS
002.txt,035.txt,ll,23,25,2889136,0.252585,0,26,216406,0.0169774,2041269,2041269,0,1239890,23,62280536,5.703,PASS
002.txt,037.txt,ll,22,20,2988018,0.335988,0,24,236102,0.027103,2248056,2248056,0,1515959,22,236004687,19.122,PASS
002.txt,038.txt,ll,33,44,2461016,0.306169,0,37,2082336,0.258518,1791397,1791397,0,1249916,33,6901062,0.766,PASS
002.txt,041.txt,ll,24,31,92947,0.00893515,0,27,209,6.08E-05,55951,55951,0,23062,24,2667230,0.321,PASS
002.txt,042.txt,ll,35,19,6669374239,1000.03,1,47,865564326,102.182,5875587484,5875587484,0,5172696433,,,0,MISSING_DATA
002.txt,044.txt,ll,14,14,562,0.000130166,0,15,176,3.41E-05,420,420,0,173,14,46838,0.004,PASS
002.txt,045.txt,ll,10,12,109,6.92E-05,0,10,11,1.09E-05,99,99,0,38,10,39,0,PASS
002.txt,046.txt,ll,25,26,47341398,4.28913,0,31,38359423,3.36617,36512910,36512910,0,26961361,,,0,MISSING_DATA
002.txt,048.txt,ll,41,48,6318477866,1000.01,1,47,1499013,0.131798,5740791688,5740791688,0,5180079526,,,0,MISSING_DATA
002.txt,049.txt,ll,46,68,1601822552,354.621,0,47,1601822126,354.62,1174009317,1174009317,0,772585843,46,1601822552,383.595,PASS
002.txt,051.txt,ll,42,46,8450173551,1000.01,1,47,1715563287,201.882,6170924944,6170924944,0,3922036963,,,0,MISSING_DATA
002.txt,053.txt,ll,17,21,442,0.000131548,0,18,62,2.79E-05,329,329,0,165,17,25988,0.003,PASS
002.txt,055.txt,ll,32,32,21297734933,1000.01,1,44,503287991,30.4398,18183988689,18183988689,0,15342346292,,,0,MISSING_DATA
002.txt,056.txt,ll,37,36,11160809957,1000.01,1,47,8263837,1.05763,8003250182,8003250182,0,4891134697,,,0,MISSING_DATA
002.txt,057.txt,ll,16,20,153,0.000128945,0,16,60,4.87E-05,128,128,0,45,16,99,0,PASS
002.txt,058.txt,ll,16,17,80619,0.00805281,0,18,51758,0.00502383,63315,63315,0,46375,16,5726580,0.597,PASS
002.txt,059.txt,ll,17,16,188,7.55E-05,0,17,70,2.04E-05,165,165,0,57,17,84,0,PASS
002.txt,061.txt,ll,43,46,4942850130,692.112,0,47,4923492697,690.613,4075131830,4075131830,0,3212112188,43,4942850130,691.96,PASS
002.txt,062.txt,ll,11,14,108,5.88E-05,0,11,12,7.76E-06,97,97,0,39,11,42,0,PASS
002.txt,063.txt,ll,22,26,1637383,0.192456,0,25,789,0.000107172,1459471,1459471,0,1289494,22,1076173894,100.671,PASS
002.txt,064.txt,ll,36,39,14010278500,1000.02,1,47,7865116178,529.827,10164209075,10164209075,0,6681431914,,,0,MISSING_DATA
002.txt,065.txt,ll,23,20,2661211,0.209672,0,25,2517831,0.199,1712696,1712696,0,791540,23,149765240,10.387,PASS
002.txt,066.txt,ll,19,26,427613,0.0385369,0,25,3313,0.000374687,283571,283571,0,175707,19,727630284,91.447,PASS
002.txt,067.txt,ll,23,26,1949,0.000315988,0,24,827,0.000105209,1311,1311,0,582,23,111689,0.01,PASS
002.txt,068.txt,ll,12,16,27107,0.00263982,0,15,62,7.72E-05,20288,20288,0,13973,12,16552632,1.523,PASS
002.txt,069.txt,ll,22,30,132,7.32E-05,0,22,23,1.73E-05,110,110,0,39,22,80,0,PASS
002.txt,070.txt,ll,42,52,11307790794,1000.02,1,47,550828377,51.9809,8831847362,8831847362,0,6390633026,,,0,MISSING_DATA
002.txt,071.txt,ll,31,33,11195524537,1000.01,1,39,1317544,0.0986816,8567066377,8567066377,0,6276984331,,,0,MISSING_DATA
002.txt,072.txt,ll,14,14,4481,0.000588421,0,15,159,3.04E-05,3779,3779,0,2986,14,88611,0.007,PASS
002.txt,073.txt,ll,37,37,9000267806,1000,1,47,502414188,45.0211,7919412113,7919412113,0,6918315313,,,0,MISSING_DATA
002.txt,074.txt,ll,39,41,6624262466,1000,1,47,745514007,79.2181,5835387704,5835387704,0,5118915795,,,0,MISSING_DATA
002.txt,075.txt,ll,24,28,473329,0.062674,0,27,6803,0.000580876,397210,397210,0,335530,24,80146239,10.7,PASS
