,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
034.txt,067.txt,21,20,20,20,20,20,20,20,20,20,20,20,20
034.txt,069.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
034.txt,071.txt,26,25,25,25,25,25,25,25,25,25,25,25,25
034.txt,072.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
034.txt,077.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
034.txt,079.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
034.txt,100.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
034.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
034.txt,108.txt,21,20,20,20,20,20,20,20,20,20,20,20,20
034.txt,112.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
034.txt,125.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
034.txt,145.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
034.txt,166.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
034.txt,170.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
034.txt,196.txt,21,20,20,20,20,20,20,20,20,20,20,20,20
037.txt,044.txt,15,13,13,13,13,13,13,13,13,13,13,13,13
037.txt,058.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
037.txt,059.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
037.txt,062.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
037.txt,067.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
037.txt,072.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
037.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
037.txt,108.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
042.txt,046.txt,26,,,,,25,25,25,25,25,25,25,25
042.txt,053.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
042.txt,069.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
042.txt,075.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
042.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
042.txt,108.txt,24,22,22,22,22,22,22,22,22,22,22,22,22
042.txt,149.txt,44,43,43,43,,43,43,43,43,43,,43,43
042.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
042.txt,160.txt,44,43,43,,43,43,43,43,43,43,43,43,43
042.txt,169.txt,34,,,,,32,32,32,32,32,32,32,32
042.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
044.txt,145.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
046.txt,069.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
051.txt,072.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
051.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
055.txt,058.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
055.txt,059.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
055.txt,067.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
055.txt,071.txt,33,,,,,32,32,32,32,32,32,32,32
055.txt,072.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
055.txt,077.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
055.txt,091.txt,34,,,,,32,32,32,32,32,32,32,32
055.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
055.txt,102.txt,39,,38,38,38,38,38,38,38,38,38,38,38
055.txt,108.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
055.txt,111.txt,28,,,,,27,27,27,27,27,27,27,27
055.txt,125.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
055.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
055.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
055.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
055.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
055.txt,169.txt,33,32,,,,32,32,32,32,32,32,32,32
055.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
055.txt,171.txt,33,32,32,32,32,32,32,32,32,32,32,32,32
055.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
056.txt,069.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
056.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
056.txt,112.txt,21,20,20,20,20,20,20,20,20,20,20,20,20
056.txt,196.txt,24,23,,23,,23,23,23,23,23,23,23,23
058.txt,062.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
058.txt,125.txt,11,10,10,10,10,10,10,10,10,10,10,10,10
058.txt,145.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
062.txt,079.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
064.txt,099.txt,19,18,18,18,18,18,18,18,18,18,18,18,18
064.txt,107.txt,35,,,,,34,34,,34,,34,34,34
064.txt,108.txt,23,,22,,,22,22,22,22,22,22,22,22
064.txt,111.txt,29,,,,,28,28,28,28,28,28,28,28
064.txt,170.txt,24,,23,,,23,23,23,23,23,23,23,23
065.txt,069.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
065.txt,072.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
065.txt,077.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
065.txt,100.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
065.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
065.txt,196.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
067.txt,069.txt,19,18,18,18,18,18,18,18,18,18,18,18,18
067.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
069.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
069.txt,145.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
071.txt,091.txt,32,31,31,31,31,31,31,31,31,31,31,31,31
071.txt,111.txt,29,28,28,28,28,28,28,28,28,28,28,28,28
071.txt,143.txt,31,30,30,30,30,30,30,30,30,30,30,30,30
071.txt,170.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
071.txt,171.txt,30,,29,,29,29,29,29,29,29,29,29,29
073.txt,075.txt,24,,,,,23,23,23,23,23,23,23,23
073.txt,089.txt,49,,,,,48,48,48,48,48,48,48,48
073.txt,108.txt,23,22,22,22,,22,22,22,22,22,22,22,22
073.txt,111.txt,29,,,,,27,27,27,27,27,27,27,27
073.txt,171.txt,34,33,33,33,33,33,33,33,33,33,33,33,33
073.txt,196.txt,23,22,22,22,,22,22,22,22,22,22,22,22
074.txt,075.txt,24,,,,,23,23,23,23,23,23,23,23
074.txt,089.txt,52,,,,,51,51,,51,,51,51,51
074.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
074.txt,101.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
074.txt,108.txt,24,,,,,22,22,22,22,22,22,22,22
074.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
