instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs70_r005_s90.A03,mcs70_r005_s90.B03,dal_dal,41,83,5224510964,1000.01,1,90,3743856583,705.179,3316939696,3316939696,0,3316939768,
mcs70_r005_s90.A04,mcs70_r005_s90.B04,dal_dal,39,90,5438165706,1000.01,1,90,218743074,37.7053,3374725658,3374725658,0,3374725692,
mcs70_r005_s90.A05,mcs70_r005_s90.B05,dal_dal,40,86,5447884539,1000.01,1,90,552520659,94.8104,3344653067,3344653067,0,3344653083,
mcs70_r005_s90.A06,mcs70_r005_s90.B06,dal_dal,39,67,5244371535,1000.02,1,90,3955439104,746.272,3222712192,3222712192,0,3222712276,
mcs70_r005_s90.A07,mcs70_r005_s90.B07,dal_dal,39,72,5097385954,1000.02,1,90,82530259,15.5156,3091365689,3091365689,0,3091365734,
mcs70_r005_s90.A08,mcs70_r005_s90.B08,dal_dal,39,76,5653953357,1000.01,1,90,4512747680,783.982,3491297266,3491297266,0,3491297263,
mcs70_r005_s90.A09,mcs70_r005_s90.B09,dal_dal,40,80,5434190600,1000.01,1,90,518274397,87.1143,3424045679,3424045679,0,3424045599,
mcs70_r01_s10.A00,mcs70_r01_s10.B00,dal_dal,7,5,1293,0.000196917,0,10,8,9.174e-06,840,840,0,824,
mcs70_r01_s10.A01,mcs70_r01_s10.B01,dal_dal,9,8,92,4.5919e-05,0,10,70,1.7677e-05,61,61,0,45,
mcs70_r01_s10.A02,mcs70_r01_s10.B02,dal_dal,8,7,211,5.5104e-05,0,10,78,1.7997e-05,136,136,0,118,
mcs70_r01_s10.A03,mcs70_r01_s10.B03,dal_dal,8,8,274,6.3125e-05,0,10,74,1.5654e-05,185,185,0,168,
mcs70_r01_s10.A04,mcs70_r01_s10.B04,dal_dal,8,8,204,5.6405e-05,0,10,106,1.8939e-05,139,139,0,118,
mcs70_r01_s10.A05,mcs70_r01_s10.B05,dal_dal,8,6,251,6.2544e-05,0,10,16,1.2359e-05,170,170,0,151,
mcs70_r01_s10.A06,mcs70_r01_s10.B06,dal_dal,8,7,631,0.000101082,0,10,547,6.5669e-05,425,425,0,408,
mcs70_r01_s10.A07,mcs70_r01_s10.B07,dal_dal,8,8,451,8.624e-05,0,10,356,4.7832e-05,290,290,0,279,
mcs70_r01_s10.A08,mcs70_r01_s10.B08,dal_dal,9,8,122,9.1668e-05,0,10,103,3.3791e-05,75,75,0,60,
mcs70_r01_s10.A09,mcs70_r01_s10.B09,dal_dal,8,7,604,9.7477e-05,0,10,537,6.4657e-05,413,413,0,393,
mcs70_r01_s100.A00,mcs70_r01_s100.B00,dal_dal,29,86,4206673114,1000.02,1,100,3605228038,850.979,2474109007,2474109007,0,2474109083,
mcs70_r01_s100.A01,mcs70_r01_s100.B01,dal_dal,28,74,4198674239,1000.02,1,100,4168955604,992.772,2434095886,2434095886,0,2434095955,
mcs70_r01_s100.A02,mcs70_r01_s100.B02,dal_dal,27,75,4435271002,1000.01,1,100,47334823,10.1889,2598268579,2598268579,0,2598268681,
mcs70_r01_s100.A03,mcs70_r01_s100.B03,dal_dal,29,75,4413450243,1000.01,1,100,1764740582,386.041,2593294674,2593294674,0,2593294701,
mcs70_r01_s100.A04,mcs70_r01_s100.B04,dal_dal,28,90,4253075981,1000.02,1,100,1198029812,267.361,2478844917,2478844917,0,2478844953,
mcs70_r01_s100.A05,mcs70_r01_s100.B05,dal_dal,28,69,4415746288,1000.02,1,100,293958315,61.4167,2574560425,2574560425,0,2574560476,
mcs70_r01_s100.A06,mcs70_r01_s100.B06,dal_dal,28,69,4271458622,1000.02,1,100,85957577,18.8182,2514601686,2514601686,0,2514601754,
mcs70_r01_s100.A07,mcs70_r01_s100.B07,dal_dal,28,88,4251422336,1000.02,1,100,295456748,66.7388,2480099640,2480099640,0,2480099753,
mcs70_r01_s100.A08,mcs70_r01_s100.B08,dal_dal,29,91,3982052648,1000.01,1,100,1318172016,315.711,2352224601,2352224601,0,2352224696,
mcs70_r01_s100.A09,mcs70_r01_s100.B09,dal_dal,28,84,4237647777,1000.01,1,100,545145597,122.517,2492891091,2492891091,0,2492891146,
mcs70_r01_s15.A00,mcs70_r01_s15.B00,dal_dal,12,12,1168,0.000200562,0,15,64,1.8047e-05,785,785,0,735,
mcs70_r01_s15.A01,mcs70_r01_s15.B01,dal_dal,11,12,5105,0.000634094,0,15,44,1.2539e-05,3330,3330,0,3294,
mcs70_r01_s15.A02,mcs70_r01_s15.B02,dal_dal,12,14,3872,0.000752693,0,15,3666,0.000699232,2449,2449,0,2421,
mcs70_r01_s15.A03,mcs70_r01_s15.B03,dal_dal,12,11,2590,0.000446933,0,15,1507,0.000276997,1770,1770,0,1747,
mcs70_r01_s15.A04,mcs70_r01_s15.B04,dal_dal,12,12,2863,0.00037915,0,15,1948,0.000240782,1934,1934,0,1909,
mcs70_r01_s15.A05,mcs70_r01_s15.B05,dal_dal,12,13,4130,0.000512033,0,15,2863,0.000334635,2651,2651,0,2634,
mcs70_r01_s15.A06,mcs70_r01_s15.B06,dal_dal,12,14,2890,0.000409668,0,15,2768,0.000367815,2001,2001,0,1972,
mcs70_r01_s15.A07,mcs70_r01_s15.B07,dal_dal,12,14,1297,0.000214953,0,15,699,0.000100942,893,893,0,859,
mcs70_r01_s15.A08,mcs70_r01_s15.B08,dal_dal,12,14,1164,0.000201393,0,15,234,3.988e-05,871,871,0,842,
mcs70_r01_s15.A09,mcs70_r01_s15.B09,dal_dal,11,14,9564,0.00108614,0,15,75,1.8638e-05,6576,6576,0,6528,
mcs70_r01_s20.A00,mcs70_r01_s20.B00,dal_dal,14,17,106049,0.0144187,0,20,1331,0.000192721,69777,69777,0,69720,
mcs70_r01_s20.A01,mcs70_r01_s20.B01,dal_dal,15,18,45008,0.00622343,0,20,32307,0.00443059,29361,29361,0,29320,
mcs70_r01_s20.A02,mcs70_r01_s20.B02,dal_dal,15,22,126066,0.0170128,0,20,123723,0.0166441,83716,83716,0,83682,
mcs70_r01_s20.A03,mcs70_r01_s20.B03,dal_dal,15,18,95580,0.0120346,0,20,75824,0.00938693,61909,61909,0,61885,
mcs70_r01_s20.A04,mcs70_r01_s20.B04,dal_dal,14,18,188274,0.0243265,0,20,2073,0.000269996,121093,121093,0,121058,
mcs70_r01_s20.A05,mcs70_r01_s20.B05,dal_dal,15,24,19231,0.00266411,0,20,9671,0.00125336,13007,13007,0,12946,
mcs70_r01_s20.A06,mcs70_r01_s20.B06,dal_dal,14,21,84907,0.0115335,0,20,3763,0.000489038,57192,57192,0,57158,
mcs70_r01_s20.A07,mcs70_r01_s20.B07,dal_dal,14,17,105846,0.0145243,0,20,336,5.9759e-05,66331,66331,0,66303,
mcs70_r01_s20.A08,mcs70_r01_s20.B08,dal_dal,14,22,124226,0.0168399,0,20,35,1.5423e-05,81986,81986,0,81956,
mcs70_r01_s20.A09,mcs70_r01_s20.B09,dal_dal,15,20,18501,0.00261438,0,20,2495,0.000309195,12663,12663,0,12632,
mcs70_r01_s25.A00,mcs70_r01_s25.B00,dal_dal,17,29,2374856,0.356346,0,25,1687911,0.248116,1515355,1515355,0,1515326,
mcs70_r01_s25.A01,mcs70_r01_s25.B01,dal_dal,17,30,739675,0.110054,0,25,288999,0.0405655,491276,491276,0,491246,
mcs70_r01_s25.A02,mcs70_r01_s25.B02,dal_dal,17,27,1802563,0.261228,0,25,986844,0.137588,1157675,1157675,0,1157634,
mcs70_r01_s25.A03,mcs70_r01_s25.B03,dal_dal,17,26,1899606,0.274871,0,25,1452269,0.205026,1246432,1246432,0,1246389,
mcs70_r01_s25.A04,mcs70_r01_s25.B04,dal_dal,17,25,1528285,0.24402,0,25,919568,0.144316,986395,986395,0,986351,
mcs70_r01_s25.A05,mcs70_r01_s25.B05,dal_dal,17,27,1588414,0.319218,0,25,1107220,0.218799,1032790,1032790,0,1032758,
mcs70_r01_s25.A06,mcs70_r01_s25.B06,dal_dal,17,31,1623152,0.326507,0,25,892288,0.174801,1062221,1062221,0,1062189,
mcs70_r01_s25.A07,mcs70_r01_s25.B07,dal_dal,17,24,1917934,0.275576,0,25,1268455,0.176303,1231859,1231859,0,1231816,
mcs70_r01_s25.A08,mcs70_r01_s25.B08,dal_dal,18,31,910449,0.132603,0,25,710149,0.100522,594370,594370,0,594339,
mcs70_r01_s25.A09,mcs70_r01_s25.B09,dal_dal,17,29,627924,0.0976722,0,25,213148,0.0319323,418365,418365,0,418327,
mcs70_r01_s30.A00,mcs70_r01_s30.B00,dal_dal,21,38,11293195,1.80505,0,30,11039811,1.75786,7661746,7661746,0,7661696,
