instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs30_b09_s90.A00,mcs30_b09_s90.B00,rrsplit_nomax,39,51,2857363840,1000.02,1,14973530,4.5192,4768594937,4768594937,79
mcs30_b09_s90.A01,mcs30_b09_s90.B01,rrsplit_nomax,40,54,2650056503,1000.02,1,559441654,202.071,4404062901,4404062901,68
mcs30_b09_s90.A02,mcs30_b09_s90.B02,rrsplit_nomax,41,78,2626907665,1000.02,1,169951135,58.0829,4346902742,4346902742,60
mcs30_b09_s90.A03,mcs30_b09_s90.B03,rrsplit_nomax,38,45,2651241030,1000.02,1,21323714,7.92928,4460203873,4460203873,62
mcs30_b09_s90.A04,mcs30_b09_s90.B04,rrsplit_nomax,41,79,2673976493,1000.02,1,8665793,2.99919,4267539154,4267539154,92
mcs30_b09_s90.A05,mcs30_b09_s90.B05,rrsplit_nomax,41,48,2630369448,1000.02,1,107635099,34.0084,4806806320,4806806320,92
mcs30_b09_s90.A06,mcs30_b09_s90.B06,rrsplit_nomax,39,41,2543769123,1000.02,1,326109917,120.27,4520746310,4520746310,105
mcs30_b09_s90.A07,mcs30_b09_s90.B07,rrsplit_nomax,41,59,2635207820,1000.01,1,45296986,14.7116,4628085415,4628085415,53
mcs30_b09_s90.A08,mcs30_b09_s90.B08,rrsplit_nomax,42,69,2665168756,1000.01,1,1084404127,385.991,4204639772,4204639772,61
mcs30_b09_s90.A09,mcs30_b09_s90.B09,rrsplit_nomax,38,48,2970934960,1000.02,1,273117529,86.7289,5239678813,5239678813,56
mcs30_b09m_s100.A00,mcs30_b09m_s100.B00,rrsplit_nomax,45,50,2873990436,1000.02,1,608396772,185.562,4783400136,4783400136,156
mcs30_b09m_s100.A01,mcs30_b09m_s100.B01,rrsplit_nomax,42,48,3077293496,1000.02,1,317984062,92.343,4849372897,4849372897,92
mcs30_b09m_s100.A02,mcs30_b09m_s100.B02,rrsplit_nomax,45,54,2745363803,1000.02,1,990204949,346.766,4520029851,4520029851,138
mcs30_b09m_s100.A03,mcs30_b09m_s100.B03,rrsplit_nomax,43,55,2759746436,1000.02,1,1058365591,371.662,4886451139,4886451139,66
mcs30_b09m_s100.A04,mcs30_b09m_s100.B04,rrsplit_nomax,45,56,3101563772,1000.02,1,2392565365,767.098,4969985830,4969985830,128
mcs30_b09m_s100.A05,mcs30_b09m_s100.B05,rrsplit_nomax,46,61,2675052927,1000.02,1,230410143,85.7015,4420272120,4420272120,120
