instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_b06m_s70.A01,mcs90_b06m_s70.B01,dsb_never,63,189,93380,0.0179102,0,64,8.24E-05,64604,64604,0
mcs90_b06m_s70.A02,mcs90_b06m_s70.B02,dsb_never,39,57,9171236675,1000.02,1,5596521899,598.407,6518177535,6518177535,0
mcs90_b06m_s70.A03,mcs90_b06m_s70.B03,dsb_never,63,187,743135,0.134654,0,572033,0.103694,441661,441661,0
mcs90_b06m_s70.A04,mcs90_b06m_s70.B04,dsb_never,63,189,9873017,1.69187,0,9761799,1.66947,5413030,5413030,0
mcs90_b06m_s70.A05,mcs90_b06m_s70.B05,dsb_never,38,54,9511892850,1000.02,1,5294366,0.507658,6313014921,6313014921,0
mcs90_b06m_s70.A06,mcs90_b06m_s70.B06,dsb_never,63,188,102777,0.0194092,0,64,8.33E-05,69693,69693,0
mcs90_b06m_s70.A07,mcs90_b06m_s70.B07,dsb_never,63,188,179991,0.0464593,0,64,0.000115494,125682,125682,0
mcs90_b06m_s70.A08,mcs90_b06m_s70.B08,dsb_never,63,187,139592,0.0262277,0,64,7.80E-05,94233,94233,0
mcs90_b06m_s70.A09,mcs90_b06m_s70.B09,dsb_never,63,188,143666426,16.9437,0,143512950,16.9148,90325646,90325646,0
mcs90_b06m_s80.A00,mcs90_b06m_s80.B00,dsb_never,54,120,6976234398,1000.02,1,3014278946,418.185,4497336708,4497336708,0
mcs90_b06m_s80.A01,mcs90_b06m_s80.B01,dsb_never,44,61,10523600762,1000.02,1,561382836,50.8503,7119677597,7119677597,0
mcs90_b06m_s80.A02,mcs90_b06m_s80.B02,dsb_never,72,213,867045714,139.124,0,866646607,139.046,560534417,560534417,0
mcs90_b06m_s80.A03,mcs90_b06m_s80.B03,dsb_never,41,47,8945629418,1000.02,1,301222227,32.4241,6043036135,6043036135,0
mcs90_b06m_s80.A04,mcs90_b06m_s80.B04,dsb_never,72,215,627537,0.122516,0,73,9.63E-05,422793,422793,0
mcs90_b06m_s80.A05,mcs90_b06m_s80.B05,dsb_never,72,214,643837305,107.884,0,643238942,107.766,440160335,440160335,0
mcs90_b06m_s80.A06,mcs90_b06m_s80.B06,dsb_never,42,53,9328273431,1000.01,1,215447185,18.9778,6097638198,6097638198,0
mcs90_b06m_s80.A07,mcs90_b06m_s80.B07,dsb_never,72,214,1065416285,146.236,0,1064816756,146.119,724132542,724132542,0
mcs90_b06m_s80.A08,mcs90_b06m_s80.B08,dsb_never,47,82,8985436671,1000.02,1,5464818152,600.233,6534288951,6534288951,0
mcs90_b06m_s80.A09,mcs90_b06m_s80.B09,dsb_never,72,214,570720,0.108042,0,73,9.87E-05,395477,395477,0
mcs90_b06m_s90.A00,mcs90_b06m_s90.B00,dsb_never,46,57,10559464369,1000.02,1,2215674848,201.186,6770498209,6770498209,0
mcs90_b06m_s90.A01,mcs90_b06m_s90.B01,dsb_never,47,61,12284263944,1000.02,1,11816321213,957.783,9639746456,9639746456,0
mcs90_b06m_s90.A02,mcs90_b06m_s90.B02,dsb_never,81,242,49386043,8.4689,0,47843398,8.1549,30895411,30895411,0
mcs90_b06m_s90.A03,mcs90_b06m_s90.B03,dsb_never,46,56,9127129502,1000.01,1,41852507,4.14183,6240286391,6240286391,0
mcs90_b06m_s90.A04,mcs90_b06m_s90.B04,dsb_never,48,64,11286380815,1000.01,1,1250584830,55.3282,8498304871,8498304871,0
mcs90_b06m_s90.A05,mcs90_b06m_s90.B05,dsb_never,47,61,9880933173,1000.02,1,4271490635,432.282,6812214441,6812214441,0
mcs90_b06m_s90.A06,mcs90_b06m_s90.B06,dsb_never,47,61,9819843070,1000.01,1,673551895,63.3368,7146884995,7146884995,0
mcs90_b06m_s90.A07,mcs90_b06m_s90.B07,dsb_never,81,240,10103299,2.01128,0,8413755,1.67565,5695199,5695199,0
mcs90_b06m_s90.A08,mcs90_b06m_s90.B08,dsb_never,48,67,9573775953,1000.01,1,4271012801,437.515,6274776327,6274776327,0
mcs90_b06m_s90.A09,mcs90_b06m_s90.B09,dsb_never,81,241,185899423,32.0487,0,183783242,31.6328,117847885,117847885,0
mcs90_b09_s100.A00,mcs90_b09_s100.B00,dsb_never,52,130,7983207838,1000.01,1,3903393622,478.44,5384358872,5384358872,0
mcs90_b09_s100.A01,mcs90_b09_s100.B01,dsb_never,90,405,72537974,15.5965,0,91,0.000109224,38300582,38300582,0
mcs90_b09_s100.A02,mcs90_b09_s100.B02,dsb_never,90,405,38538533,8.497,0,3561993,0.58454,21103118,21103118,0
mcs90_b09_s100.A03,mcs90_b09_s100.B03,dsb_never,90,405,4098227471,544.52,0,4037367648,530.896,2758415397,2758415397,0
mcs90_b09_s100.A04,mcs90_b09_s100.B04,dsb_never,90,405,34327347,7.65214,0,222401,0.04483,18628229,18628229,0
mcs90_b09_s100.A05,mcs90_b09_s100.B05,dsb_never,66,228,7124721109,1000.01,1,6232027723,864.222,4487070717,4487070717,0
mcs90_b09_s100.A06,mcs90_b09_s100.B06,dsb_never,52,133,7596328485,1000.01,1,5791049322,750.168,5044806464,5044806464,0
mcs90_b09_s100.A07,mcs90_b09_s100.B07,dsb_never,90,405,77188045,16.6004,0,22148998,4.2641,42923266,42923266,0
mcs90_b09_s100.A08,mcs90_b09_s100.B08,dsb_never,74,295,5570486684,1000.01,1,75,0.000113181,2976447417,2976447417,0
mcs90_b09_s100.A09,mcs90_b09_s100.B09,dsb_never,90,405,2564572663,339.192,0,2517911872,328.848,1620032609,1620032609,0
mcs90_b09_s15.A00,mcs90_b09_s15.B00,dsb_never,12,54,804,0.00012619,0,13,7.65E-06,532,532,0
mcs90_b09_s15.A01,mcs90_b09_s15.B01,dsb_never,13,57,351,7.67E-05,0,252,3.62E-05,233,233,0
mcs90_b09_s15.A02,mcs90_b09_s15.B02,dsb_never,12,54,950,0.000132058,0,55,1.20E-05,606,606,0
mcs90_b09_s15.A03,mcs90_b09_s15.B03,dsb_never,13,57,271,6.81E-05,0,79,1.64E-05,182,182,0
mcs90_b09_s15.A04,mcs90_b09_s15.B04,dsb_never,12,54,834,0.000117987,0,27,9.28E-06,551,551,0
mcs90_b09_s15.A05,mcs90_b09_s15.B05,dsb_never,12,54,737,0.000115714,0,13,7.13E-06,483,483,0
mcs90_b09_s15.A06,mcs90_b09_s15.B06,dsb_never,13,57,491,8.57E-05,0,410,4.81E-05,314,314,0
mcs90_b09_s15.A07,mcs90_b09_s15.B07,dsb_never,13,57,159,5.80E-05,0,14,8.30E-06,117,117,0
mcs90_b09_s15.A08,mcs90_b09_s15.B08,dsb_never,12,54,552,9.37E-05,0,13,7.11E-06,367,367,0
mcs90_b09_s15.A09,mcs90_b09_s15.B09,dsb_never,12,54,390,7.97E-05,0,13,7.37E-06,272,272,0
mcs90_b09_s20.A00,mcs90_b09_s20.B00,dsb_never,18,81,1541,0.000282094,0,114,2.94E-05,1194,1194,0
mcs90_b09_s20.A01,mcs90_b09_s20.B01,dsb_never,18,81,885,0.000180781,0,137,3.54E-05,679,679,0
mcs90_b09_s20.A02,mcs90_b09_s20.B02,dsb_never,18,81,472,0.000122114,0,140,3.75E-05,348,348,0
mcs90_b09_s20.A03,mcs90_b09_s20.B03,dsb_never,18,81,619,0.000142194,0,202,4.65E-05,470,470,0
mcs90_b09_s20.A04,mcs90_b09_s20.B04,dsb_never,18,81,620,0.00013942,0,120,2.88E-05,471,471,0
mcs90_b09_s20.A05,mcs90_b09_s20.B05,dsb_never,18,81,684,0.000161183,0,235,6.04E-05,500,500,0
