instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_r005_s40.A02,mcs90_r005_s40.B02,dal_rl,36,60,1647573,0.2518,0,1642091,0.250765,1087769,1087769,0
mcs90_r005_s40.A03,mcs90_r005_s40.B03,dal_rl,36,65,37318341,4.20656,0,37308977,4.20473,26875313,26875313,0
mcs90_r005_s40.A04,mcs90_r005_s40.B04,dal_rl,36,64,31082148,3.96128,0,31078726,3.96058,21204732,21204732,0
mcs90_r005_s40.A05,mcs90_r005_s40.B05,dal_rl,36,61,12909903,1.93336,0,12907600,1.93281,8770556,8770556,0
mcs90_r005_s40.A06,mcs90_r005_s40.B06,dal_rl,36,59,3816467,0.596522,0,3809960,0.595165,2543948,2543948,0
mcs90_r005_s40.A07,mcs90_r005_s40.B07,dal_rl,36,62,12144603,1.68989,0,12140474,1.68895,8106087,8106087,0
mcs90_r005_s40.A08,mcs90_r005_s40.B08,dal_rl,36,65,24704899,3.61543,0,24699482,3.61437,16699624,16699624,0
mcs90_r005_s40.A09,mcs90_r005_s40.B09,dal_rl,36,62,13288401,1.9704,0,13276529,1.96794,8770984,8770984,0
mcs90_r005_s50.A00,mcs90_r005_s50.B00,dal_rl,45,95,1496163297,262.24,0,1496116202,262.229,1015625316,1015625316,0
mcs90_r005_s50.A01,mcs90_r005_s50.B01,dal_rl,45,92,2608209619,465.611,0,2608183448,465.604,1767886142,1767886142,0
mcs90_r005_s50.A02,mcs90_r005_s50.B02,dal_rl,45,102,114258077,22.3989,0,114228225,22.3914,75289857,75289857,0
mcs90_r005_s50.A03,mcs90_r005_s50.B03,dal_rl,45,102,516676878,81.9265,0,516649323,81.9207,349477561,349477561,0
mcs90_r005_s50.A04,mcs90_r005_s50.B04,dal_rl,45,97,402097332,60.4749,0,402081902,60.4714,269649415,269649415,0
mcs90_r005_s50.A05,mcs90_r005_s50.B05,dal_rl,45,98,287274025,48.1978,0,287254308,48.1932,204698334,204698334,0
mcs90_r005_s50.A06,mcs90_r005_s50.B06,dal_rl,45,101,264740547,40.7756,0,264727875,40.7727,182216707,182216707,0
