instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs90_b06_s80.A03,mcs90_b06_s80.B03,rrsplit_noveq,74,218,1029306,0.260914,0,815679,0.200059,1383083,1383083,2742
mcs90_b06_s80.A04,mcs90_b06_s80.B04,rrsplit_noveq,73,217,7409437,2.0434,0,5312460,1.48863,10327955,10327955,4238
mcs90_b06_s80.A05,mcs90_b06_s80.B05,rrsplit_noveq,73,217,3107818,0.883777,0,2001843,0.579913,5095626,5095626,39945
mcs90_b06_s80.A06,mcs90_b06_s80.B06,rrsplit_noveq,73,217,23640618,5.09733,0,22784985,4.87359,42798546,42798546,326042
mcs90_b06_s80.A07,mcs90_b06_s80.B07,rrsplit_noveq,57,135,4204225269,1000.01,1,2433275955,569.589,7097097609,7097097609,73687858
mcs90_b06_s80.A08,mcs90_b06_s80.B08,rrsplit_noveq,72,216,96802195,22.1933,0,89536031,20.3952,144432850,144432850,332994
mcs90_b06_s80.A09,mcs90_b06_s80.B09,rrsplit_noveq,73,218,1475530,0.384321,0,193035,0.0530233,1752197,1752197,876
mcs90_b06_s90.A00,mcs90_b06_s90.B00,rrsplit_noveq,81,243,31202145,8.59818,0,1161170,0.313496,45988112,45988112,22479
mcs90_b06_s90.A01,mcs90_b06_s90.B01,rrsplit_noveq,82,244,1085700972,239.518,0,1078993289,237.848,1629470709,1629470709,10875002
mcs90_b06_s90.A02,mcs90_b06_s90.B02,rrsplit_noveq,82,244,631754594,134.553,0,623043236,132.274,882384861,882384861,5269421
mcs90_b06_s90.A03,mcs90_b06_s90.B03,rrsplit_noveq,82,238,8200174,2.1835,0,1712244,0.463402,10730632,10730632,5335
mcs90_b06_s90.A04,mcs90_b06_s90.B04,rrsplit_noveq,82,245,72393623,14.755,0,70323583,14.1627,93145724,93145724,170579
mcs90_b06_s90.A05,mcs90_b06_s90.B05,rrsplit_noveq,82,244,1081361720,687.994,0,1066332514,680.38,2284956145,2284956145,15323973
mcs90_b06_s90.A06,mcs90_b06_s90.B06,rrsplit_noveq,68,170,1981453858,1000.01,1,845223,0.350034,3536656764,3536656764,51753197
mcs90_b06_s90.A07,mcs90_b06_s90.B07,rrsplit_noveq,81,243,47270786,25.8752,0,715615,0.430426,68216466,68216466,57751
mcs90_b06_s90.A08,mcs90_b06_s90.B08,rrsplit_noveq,67,161,4449200527,1000.01,1,1231645661,281.921,6824764551,6824764551,16467699
mcs90_b06_s90.A09,mcs90_b06_s90.B09,rrsplit_noveq,66,167,3765936958,1000.01,1,1309533904,322.854,6852276548,6852276548,75686350
mcs90_b06m_s10.A00,mcs90_b06m_s10.B00,rrsplit_noveq,9,21,9,8.57E-05,0,9,5.94E-05,19,19,7
mcs90_b06m_s10.A01,mcs90_b06m_s10.B01,rrsplit_noveq,9,26,13,7.29E-05,0,9,5.03E-05,25,25,8
mcs90_b06m_s10.A02,mcs90_b06m_s10.B02,rrsplit_noveq,9,25,49,8.73E-05,0,49,6.67E-05,101,101,15
mcs90_b06m_s10.A03,mcs90_b06m_s10.B03,rrsplit_noveq,9,24,50,9.56E-05,0,50,7.08E-05,87,87,18
mcs90_b06m_s10.A04,mcs90_b06m_s10.B04,rrsplit_noveq,9,24,36,9.49E-05,0,36,6.91E-05,65,65,22
mcs90_b06m_s10.A05,mcs90_b06m_s10.B05,rrsplit_noveq,9,24,22,7.61E-05,0,22,5.48E-05,40,40,11
mcs90_b06m_s10.A06,mcs90_b06m_s10.B06,rrsplit_noveq,9,24,36,9.34E-05,0,36,6.89E-05,74,74,11
mcs90_b06m_s10.A07,mcs90_b06m_s10.B07,rrsplit_noveq,9,25,48,8.12E-05,0,46,6.01E-05,83,83,15
mcs90_b06m_s10.A08,mcs90_b06m_s10.B08,rrsplit_noveq,9,26,20,8.39E-05,0,17,5.91E-05,36,36,11
mcs90_b06m_s10.A09,mcs90_b06m_s10.B09,rrsplit_noveq,9,26,10,7.87E-05,0,9,5.66E-05,21,21,8
mcs90_b06m_s100.A00,mcs90_b06m_s100.B00,rrsplit_noveq,90,268,1726604,0.919989,0,90,0.000175193,3219662,3219662,24805
mcs90_b06m_s100.A01,mcs90_b06m_s100.B01,rrsplit_noveq,54,77,3571392084,1000.01,1,1238874535,352.698,8175980645,8175980645,116775834
mcs90_b06m_s100.A02,mcs90_b06m_s100.B02,rrsplit_noveq,50,62,4427272091,1000.02,1,3109901962,691.687,9009988943,9009988943,248095846
mcs90_b06m_s100.A03,mcs90_b06m_s100.B03,rrsplit_noveq,90,269,1739643,0.87077,0,90,0.000180031,2784994,2784994,26255
mcs90_b06m_s100.A04,mcs90_b06m_s100.B04,rrsplit_noveq,90,269,387350140,135.161,0,385401557,134.134,536046771,536046771,33842522
mcs90_b06m_s100.A05,mcs90_b06m_s100.B05,rrsplit_noveq,55,86,3438961037,1000.02,1,1414506547,364.231,6490736501,6490736501,172389140
mcs90_b06m_s100.A06,mcs90_b06m_s100.B06,rrsplit_noveq,90,269,1699506,0.875432,0,90,0.000166801,3165812,3165812,32037
mcs90_b06m_s100.A07,mcs90_b06m_s100.B07,rrsplit_noveq,54,78,3444530948,1000.01,1,36723976,8.58299,6118649575,6118649575,129714862
mcs90_b06m_s100.A08,mcs90_b06m_s100.B08,rrsplit_noveq,50,63,3685590782,1000.02,1,1715782198,461.52,6533023439,6533023439,104208605
mcs90_b06m_s100.A09,mcs90_b06m_s100.B09,rrsplit_noveq,49,55,3980579088,1000.02,1,1140275000,263.427,7875890780,7875890780,134183177
mcs90_b06m_s15.A00,mcs90_b06m_s15.B00,rrsplit_noveq,13,39,66,0.000147592,0,25,8.75E-05,220,220,16
mcs90_b06m_s15.A01,mcs90_b06m_s15.B01,rrsplit_noveq,13,37,108,0.000134753,0,90,8.06E-05,227,227,22
mcs90_b06m_s15.A02,mcs90_b06m_s15.B02,rrsplit_noveq,13,38,64,0.000101744,0,55,6.60E-05,136,136,14
mcs90_b06m_s15.A03,mcs90_b06m_s15.B03,rrsplit_noveq,13,37,1265,0.000544599,0,1227,0.000495646,2120,2120,37
mcs90_b06m_s15.A04,mcs90_b06m_s15.B04,rrsplit_noveq,13,36,96,0.000157397,0,51,9.96E-05,255,255,16
mcs90_b06m_s15.A05,mcs90_b06m_s15.B05,rrsplit_noveq,13,37,26,0.00012604,0,13,8.61E-05,99,99,10
mcs90_b06m_s15.A06,mcs90_b06m_s15.B06,rrsplit_noveq,13,37,704,0.000368245,0,684,0.000316766,1140,1140,13
mcs90_b06m_s15.A07,mcs90_b06m_s15.B07,rrsplit_noveq,13,37,35,9.26E-05,0,23,5.69E-05,96,96,17
mcs90_b06m_s15.A08,mcs90_b06m_s15.B08,rrsplit_noveq,13,38,307,0.000185579,0,302,0.00015242,548,548,20
mcs90_b06m_s15.A09,mcs90_b06m_s15.B09,rrsplit_noveq,13,37,88,0.000132259,0,65,8.48E-05,197,197,16
mcs90_b06m_s20.A00,mcs90_b06m_s20.B00,rrsplit_noveq,18,51,3491,0.00125148,0,3480,0.00120889,5847,5847,63
mcs90_b06m_s20.A01,mcs90_b06m_s20.B01,rrsplit_noveq,18,52,8317,0.00268917,0,8277,0.00261798,13394,13394,108
mcs90_b06m_s20.A02,mcs90_b06m_s20.B02,rrsplit_noveq,18,53,61,0.000118999,0,32,5.80E-05,206,206,23
mcs90_b06m_s20.A03,mcs90_b06m_s20.B03,rrsplit_noveq,18,53,101,0.000329786,0,58,8.14E-05,286,286,31
mcs90_b06m_s20.A04,mcs90_b06m_s20.B04,rrsplit_noveq,18,53,46,0.000117817,0,18,6.11E-05,155,155,9
mcs90_b06m_s20.A05,mcs90_b06m_s20.B05,rrsplit_noveq,18,51,3289,0.00114369,0,3279,0.0010951,5357,5357,77
mcs90_b06m_s20.A06,mcs90_b06m_s20.B06,rrsplit_noveq,18,53,4472,0.00174779,0,4449,0.00168731,7716,7716,48
mcs90_b06m_s20.A07,mcs90_b06m_s20.B07,rrsplit_noveq,18,49,5700,0.00191155,0,5623,0.00183554,8838,8838,40
mcs90_b06m_s20.A08,mcs90_b06m_s20.B08,rrsplit_noveq,18,52,15821,0.00494971,0,15786,0.00488452,24814,24814,100
mcs90_b06m_s20.A09,mcs90_b06m_s20.B09,rrsplit_noveq,18,54,1250,0.000546983,0,1182,0.000470609,1981,1981,24
mcs90_b06m_s25.A00,mcs90_b06m_s25.B00,rrsplit_noveq,22,65,3403,0.00251346,0,3228,0.00219083,5544,5544,87
mcs90_b06m_s25.A01,mcs90_b06m_s25.B01,rrsplit_noveq,22,66,39929,0.0133841,0,39791,0.0132372,69291,69291,185
mcs90_b06m_s25.A02,mcs90_b06m_s25.B02,rrsplit_noveq,22,65,1218,0.000545269,0,1152,0.000431168,2190,2190,52
mcs90_b06m_s25.A03,mcs90_b06m_s25.B03,rrsplit_noveq,22,64,140858,0.046763,0,140662,0.0465897,251410,251410,406
mcs90_b06m_s25.A04,mcs90_b06m_s25.B04,rrsplit_noveq,22,63,34750,0.0116417,0,34538,0.0114621,56810,56810,279
mcs90_b06m_s25.A05,mcs90_b06m_s25.B05,rrsplit_noveq,22,63,529,0.000513359,0,262,0.000149454,1154,1154,42
mcs90_b06m_s25.A06,mcs90_b06m_s25.B06,rrsplit_noveq,22,65,1838,0.000747089,0,1630,0.000540821,3160,3160,89
mcs90_b06m_s25.A07,mcs90_b06m_s25.B07,rrsplit_noveq,22,66,2053,0.000805589,0,1935,0.000664057,3419,3419,151
mcs90_b06m_s25.A08,mcs90_b06m_s25.B08,rrsplit_noveq,22,62,32377,0.0106343,0,32203,0.0104907,60531,60531,252
mcs90_b06m_s25.A09,mcs90_b06m_s25.B09,rrsplit_noveq,22,65,198,0.000233552,0,22,6.17E-05,669,669,13
mcs90_b06m_s30.A00,mcs90_b06m_s30.B00,rrsplit_noveq,27,78,28519,0.00768859,0,28441,0.00756004,46986,46986,791
mcs90_b06m_s30.A01,mcs90_b06m_s30.B01,rrsplit_noveq,27,79,262531,0.0814193,0,262290,0.0811942,437949,437949,1518
mcs90_b06m_s30.A02,mcs90_b06m_s30.B02,rrsplit_noveq,27,78,933,0.000505367,0,599,0.000243985,1922,1922,46
mcs90_b06m_s30.A03,mcs90_b06m_s30.B03,rrsplit_noveq,27,81,102633,0.0346256,0,102406,0.0344255,173330,173330,752
mcs90_b06m_s30.A04,mcs90_b06m_s30.B04,rrsplit_noveq,27,79,308264,0.102709,0,307777,0.102391,579569,579569,1688
mcs90_b06m_s30.A05,mcs90_b06m_s30.B05,rrsplit_noveq,27,76,46410,0.0140143,0,45946,0.013708,80945,80945,1408
mcs90_b06m_s30.A06,mcs90_b06m_s30.B06,rrsplit_noveq,27,79,195,0.000249536,0,91,0.00010598,610,610,34
mcs90_b06m_s30.A07,mcs90_b06m_s30.B07,rrsplit_noveq,27,77,486,0.000368615,0,385,0.000228174,1034,1034,36
mcs90_b06m_s30.A08,mcs90_b06m_s30.B08,rrsplit_noveq,27,78,327,0.000312952,0,61,8.52E-05,1004,1004,30
