instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_b09_s40.A07,mcs30_b09_s40.B07,dsb_always,21,32,2332254161,392.829,0,40,85607396,13.9198,1524588540,1524588540,0,0,
mcs30_b09_s40.A08,mcs30_b09_s40.B08,dsb_always,21,34,3103189239,512.756,0,40,65537816,10.3833,2049187153,2049187153,0,0,
mcs30_b09_s40.A09,mcs30_b09_s40.B09,dsb_always,21,32,2561090290,429.45,0,40,127335778,20.1421,1696957031,1696957031,0,0,
mcs30_b09_s50.A00,mcs30_b09_s50.B00,dsb_always,25,40,4347074750,1000.02,1,50,258660754,57.3525,2824311420,2824311420,0,0,
mcs30_b09_s50.A01,mcs30_b09_s50.B01,dsb_always,25,34,5929837203,1000.02,1,50,1100460348,177.013,3811333896,3811333896,0,0,
mcs30_b09_s50.A02,mcs30_b09_s50.B02,dsb_always,25,64,5905508871,1000.02,1,50,606164762,101.437,3825339397,3825339397,0,0,
mcs30_b09_s50.A03,mcs30_b09_s50.B03,dsb_always,25,47,6029200204,1000.01,1,50,4091988843,670.567,3824198819,3824198819,0,0,
mcs30_b09_s50.A04,mcs30_b09_s50.B04,dsb_always,25,53,5876756075,1000.02,1,50,256244699,42.4427,3795330964,3795330964,0,0,
mcs30_b09_s50.A05,mcs30_b09_s50.B05,dsb_always,24,40,6120260856,1000.02,1,50,29180162,4.68269,3871330287,3871330287,0,0,
mcs30_b09_s50.A06,mcs30_b09_s50.B06,dsb_always,26,60,5696934338,1000.01,1,50,3358700737,571.576,3702711716,3702711716,0,0,
mcs30_b09_s50.A07,mcs30_b09_s50.B07,dsb_always,25,36,3196961645,1000.02,1,50,801040058,238.305,2048963038,2048963038,0,0,
mcs30_b09_s50.A08,mcs30_b09_s50.B08,dsb_always,26,65,5652579769,1000.02,1,50,1650045642,274.828,3651286019,3651286019,0,0,
mcs30_b09_s50.A09,mcs30_b09_s50.B09,dsb_always,25,36,5992296696,1000.01,1,50,202566397,32.7236,3889787053,3889787053,0,0,
mcs30_b09_s60.A00,mcs30_b09_s60.B00,dsb_always,29,71,3288486239,1000.02,1,60,371248054,118.383,2062705095,2062705095,0,0,
mcs30_b09_s60.A01,mcs30_b09_s60.B01,dsb_always,29,41,3342043526,1000.02,1,60,1143176853,327.839,2173249324,2173249324,0,0,
mcs30_b09_s60.A02,mcs30_b09_s60.B02,dsb_always,29,38,3342321430,1000.02,1,60,2863544952,835.683,2120608331,2120608331,0,0,
mcs30_b09_s60.A03,mcs30_b09_s60.B03,dsb_always,30,36,3167990889,1000.02,1,60,405241823,130.009,2032370100,2032370100,0,0,
mcs30_b09_s60.A04,mcs30_b09_s60.B04,dsb_always,29,31,6192839284,1000.02,1,60,5847726652,940.953,3879101689,3879101689,0,0,
mcs30_b09_s60.A05,mcs30_b09_s60.B05,dsb_always,29,48,6088192035,1000.02,1,60,2536625869,408.231,3952696249,3952696249,0,0,
mcs30_b09_s60.A06,mcs30_b09_s60.B06,dsb_always,28,58,6057924328,1000.01,1,60,19293,0.00295783,3805844675,3805844675,0,0,
mcs30_b09_s60.A07,mcs30_b09_s60.B07,dsb_always,29,54,5866117431,1000.01,1,60,2511683082,425.494,3750388320,3750388320,0,0,
mcs30_b09_s60.A08,mcs30_b09_s60.B08,dsb_always,29,64,5692669602,1000.02,1,60,164629554,26.36,3612521457,3612521457,0,0,
mcs30_b09_s60.A09,mcs30_b09_s60.B09,dsb_always,29,64,5847908328,1000.02,1,60,1399956779,236.921,3680673491,3680673491,0,0,
mcs30_b09_s70.A00,mcs30_b09_s70.B00,dsb_always,33,44,6316191374,1000.01,1,70,5682237456,896.445,4005367859,4005367859,0,0,
mcs30_b09_s70.A01,mcs30_b09_s70.B01,dsb_always,32,37,6158663147,1000.02,1,70,477186277,75.7657,3885703049,3885703049,0,0,
mcs30_b09_s70.A02,mcs30_b09_s70.B02,dsb_always,34,65,6128461959,1000.02,1,70,4303399028,690.079,3854095842,3854095842,0,0,
mcs30_b09_s70.A03,mcs30_b09_s70.B03,dsb_always,33,38,6076191498,1000.02,1,70,3477644811,553.759,3887925377,3887925377,0,0,
mcs30_b09_s70.A04,mcs30_b09_s70.B04,dsb_always,33,54,6304805974,1000.01,1,70,367599331,55.1636,4044181445,4044181445,0,0,
mcs30_b09_s70.A05,mcs30_b09_s70.B05,dsb_always,34,61,5537149398,1000.02,1,70,733525772,123.407,3554995674,3554995674,0,0,
mcs30_b09_s70.A06,mcs30_b09_s70.B06,dsb_always,33,41,5649249425,1000.01,1,70,61796024,9.54601,3560465053,3560465053,0,0,
mcs30_b09_s70.A07,mcs30_b09_s70.B07,dsb_always,32,42,6021954779,1000.01,1,70,1675628,0.259166,3797812085,3797812085,0,0,
mcs30_b09_s70.A08,mcs30_b09_s70.B08,dsb_always,33,41,6047625523,1000.02,1,70,3446643848,560.54,3851353970,3851353970,0,0,
mcs30_b09_s70.A09,mcs30_b09_s70.B09,dsb_always,33,40,6227973240,1000.01,1,70,2558108751,393.563,3915626596,3915626596,0,0,
mcs30_b09_s80.A00,mcs30_b09_s80.B00,dsb_always,34,41,6311724259,1000.02,1,80,333045278,49.687,3926708054,3926708054,0,0,
mcs30_b09_s80.A01,mcs30_b09_s80.B01,dsb_always,36,53,6294563433,1000.01,1,80,305884383,46.5246,4005570650,4005570650,0,0,
mcs30_b09_s80.A02,mcs30_b09_s80.B02,dsb_always,37,60,5688816219,1000.01,1,80,24441750,3.83652,3559332899,3559332899,0,0,
mcs30_b09_s80.A03,mcs30_b09_s80.B03,dsb_always,36,48,6136526186,1000.02,1,80,158625899,24.9648,3818133305,3818133305,0,0,
mcs30_b09_s80.A04,mcs30_b09_s80.B04,dsb_always,38,63,6097440111,1000.02,1,80,244650,0.0356388,3878544028,3878544028,0,0,
mcs30_b09_s80.A05,mcs30_b09_s80.B05,dsb_always,36,47,7027304568,1000.01,1,80,885942061,114.489,4500334514,4500334514,0,0,
mcs30_b09_s80.A06,mcs30_b09_s80.B06,dsb_always,36,49,6337167905,1000.01,1,80,228387492,34.5367,3899481388,3899481388,0,0,
mcs30_b09_s80.A07,mcs30_b09_s80.B07,dsb_always,37,73,5792954734,1000.01,1,80,1944692440,324.548,3643661081,3643661081,0,0,
mcs30_b09_s80.A08,mcs30_b09_s80.B08,dsb_always,36,45,6484572541,1000.02,1,80,952281364,143.807,4063051773,4063051773,0,0,
mcs30_b09_s80.A09,mcs30_b09_s80.B09,dsb_always,36,46,3302194608,1000.02,1,80,318086594,86.2157,2080998263,2080998263,0,0,
mcs30_b09_s90.A00,mcs30_b09_s90.B00,dsb_always,39,51,6680801640,1000.02,1,90,40877246,5.16129,4175349609,4175349609,0,0,
mcs30_b09_s90.A01,mcs30_b09_s90.B01,dsb_always,40,54,5986914986,1000.02,1,90,1462006106,236.286,3732355574,3732355574,0,0,
mcs30_b09_s90.A02,mcs30_b09_s90.B02,dsb_always,41,78,6072527315,1000.02,1,90,443871269,66.01,3786611985,3786611985,0,0,
mcs30_b09_s90.A03,mcs30_b09_s90.B03,dsb_always,38,45,4591897433,1000.01,1,90,55006123,11.8723,2871488057,2871488057,0,0,
mcs30_b09_s90.A04,mcs30_b09_s90.B04,dsb_always,41,79,5715835019,1000.02,1,90,20790308,3.59262,3511642316,3511642316,0,0,
mcs30_b09_s90.A05,mcs30_b09_s90.B05,dsb_always,41,48,6287654644,1000.01,1,90,299696789,39.4449,4055916414,4055916414,0,0,
mcs30_b09_s90.A06,mcs30_b09_s90.B06,dsb_always,39,41,5635727664,1000.02,1,90,901608773,143.467,3604139039,3604139039,0,0,
mcs30_b09_s90.A07,mcs30_b09_s90.B07,dsb_always,41,59,5430309583,1000.01,1,90,125487553,19.3216,3452518168,3452518168,0,0,
mcs30_b09_s90.A08,mcs30_b09_s90.B08,dsb_always,42,69,5263918083,1000.02,1,90,2739831959,501.143,3212306815,3212306815,0,0,
mcs30_b09_s90.A09,mcs30_b09_s90.B09,dsb_always,38,48,6226678928,1000.02,1,90,744029800,112.087,3973371830,3973371830,0,0,
mcs30_b09m_s100.A00,mcs30_b09m_s100.B00,dsb_always,45,50,5646144206,1000.02,1,100,1624422163,248.103,3524830840,3524830840,0,0,
mcs30_b09m_s100.A01,mcs30_b09m_s100.B01,dsb_always,42,48,6694150147,1000.01,1,100,826924978,109.371,4089910300,4089910300,0,0,
mcs30_b09m_s100.A02,mcs30_b09m_s100.B02,dsb_always,45,54,6205119387,1000.01,1,100,2589521677,404.471,3859744784,3859744784,0,0,
mcs30_b09m_s100.A03,mcs30_b09m_s100.B03,dsb_always,43,55,6564003043,1000.01,1,100,2950387635,430.858,4196543179,4196543179,0,0,
mcs30_b09m_s100.A04,mcs30_b09m_s100.B04,dsb_always,45,56,6999951514,1000.02,1,100,6226601744,887.19,4311205899,4311205899,0,0,
mcs30_b09m_s100.A05,mcs30_b09m_s100.B05,dsb_always,46,61,5922617715,1000.02,1,100,610019745,99.7365,3685102403,3685102403,0,0,
mcs30_b09m_s100.A06,mcs30_b09m_s100.B06,dsb_always,43,52,5860398543,1000.02,1,100,1181772140,197.32,3582738055,3582738055,0,0,
mcs30_b09m_s100.A07,mcs30_b09m_s100.B07,dsb_always,44,51,6155360102,1000.01,1,100,242715797,35.0994,3924928217,3924928217,0,0,
mcs30_b09m_s100.A08,mcs30_b09m_s100.B08,dsb_always,44,54,5997652651,1000.02,1,100,3900503823,639.598,3733196461,3733196461,0,0,
mcs30_b09m_s100.A09,mcs30_b09m_s100.B09,dsb_always,46,54,6288165307,1000.02,1,100,154671304,22.1236,3989888481,3989888481,0,0,
mcs30_b09m_s35.A00,mcs30_b09m_s35.B00,dsb_always,19,47,218655337,36.6282,0,35,29569794,4.79705,144081504,144081504,0,0,
mcs30_b09m_s35.A01,mcs30_b09m_s35.B01,dsb_always,19,31,220662283,38.0572,0,35,58072884,9.90873,143534117,143534117,0,0,
mcs30_b09m_s35.A02,mcs30_b09m_s35.B02,dsb_always,19,41,175411512,29.8301,0,35,6440070,1.05708,116428012,116428012,0,0,
mcs30_b09m_s35.A03,mcs30_b09m_s35.B03,dsb_always,19,37,177893970,29.2189,0,35,47280502,7.577,117421264,117421264,0,0,
