instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_r02_s15.A09,mcs30_r02_s15.B09,ll_none,10,15,11663,0.00139311,0,15,8413,0.000985748,7442,7442,0,0,
mcs30_r02_s20.A00,mcs30_r02_s20.B00,ll_none,12,22,261018,0.0370551,0,20,99827,0.0136886,159889,159889,0,0,
mcs30_r02_s20.A01,mcs30_r02_s20.B01,ll_none,12,21,220036,0.0452753,0,20,115839,0.0215854,137932,137932,0,0,
mcs30_r02_s20.A02,mcs30_r02_s20.B02,ll_none,12,19,125670,0.0216799,0,20,5591,0.000879688,80847,80847,0,0,
mcs30_r02_s20.A03,mcs30_r02_s20.B03,ll_none,12,26,165277,0.0237324,0,20,18096,0.00240426,104643,104643,0,0,
mcs30_r02_s20.A04,mcs30_r02_s20.B04,ll_none,12,18,135995,0.0193131,0,20,55669,0.0075341,86602,86602,0,0,
mcs30_r02_s20.A05,mcs30_r02_s20.B05,ll_none,12,21,362427,0.048349,0,20,314828,0.0418182,224247,224247,0,0,
mcs30_r02_s20.A06,mcs30_r02_s20.B06,ll_none,12,23,148555,0.0214816,0,20,11078,0.00141945,95892,95892,0,0,
mcs30_r02_s20.A07,mcs30_r02_s20.B07,ll_none,12,17,195589,0.0271212,0,20,46651,0.00601104,123134,123134,0,0,
mcs30_r02_s20.A08,mcs30_r02_s20.B08,ll_none,12,19,160660,0.0358193,0,20,46704,0.00992704,101841,101841,0,0,
mcs30_r02_s20.A09,mcs30_r02_s20.B09,ll_none,12,23,213663,0.033292,0,20,21173,0.00276375,133744,133744,0,0,
mcs30_r02_s25.A00,mcs30_r02_s25.B00,ll_none,14,25,3083061,0.467002,0,25,2513502,0.379271,1900479,1900479,0,0,
mcs30_r02_s25.A01,mcs30_r02_s25.B01,ll_none,13,23,6883723,1.05569,0,25,608138,0.0885248,4219271,4219271,0,0,
mcs30_r02_s25.A02,mcs30_r02_s25.B02,ll_none,13,22,6399688,0.963819,0,25,26612,0.00392722,3908848,3908848,0,0,
mcs30_r02_s25.A03,mcs30_r02_s25.B03,ll_none,13,25,5846654,0.915171,0,25,1020785,0.151481,3610478,3610478,0,0,
mcs30_r02_s25.A04,mcs30_r02_s25.B04,ll_none,13,29,5071672,0.777056,0,25,152066,0.0212569,3127114,3127114,0,0,
mcs30_r02_s25.A05,mcs30_r02_s25.B05,ll_none,13,22,4304614,0.640978,0,25,204367,0.0281244,2679787,2679787,0,0,
mcs30_r02_s25.A06,mcs30_r02_s25.B06,ll_none,13,29,5532605,0.86322,0,25,334475,0.0485844,3416515,3416515,0,0,
mcs30_r02_s25.A07,mcs30_r02_s25.B07,ll_none,13,25,4453532,0.732417,0,25,73977,0.0136403,2764938,2764938,0,0,
mcs30_r02_s25.A08,mcs30_r02_s25.B08,ll_none,13,26,4620504,0.713865,0,25,42469,0.00635532,2867351,2867351,0,0,
mcs30_r02_s25.A09,mcs30_r02_s25.B09,ll_none,13,18,6076120,1.30243,0,25,362453,0.0776762,3746646,3746646,0,0,
mcs30_r02_s30.A00,mcs30_r02_s30.B00,ll_none,14,30,87611029,15.7698,0,30,339572,0.0580389,53556318,53556318,0,0,
mcs30_r02_s30.A01,mcs30_r02_s30.B01,ll_none,15,26,61675987,10.182,0,30,31646391,5.17101,37435129,37435129,0,0,
mcs30_r02_s30.A02,mcs30_r02_s30.B02,ll_none,15,33,40793297,7.14407,0,30,8493943,1.42102,25162806,25162806,0,0,
mcs30_r02_s30.A03,mcs30_r02_s30.B03,ll_none,14,27,97937060,16.2692,0,30,1212315,0.189091,59468115,59468115,0,0,
mcs30_r02_s30.A04,mcs30_r02_s30.B04,ll_none,15,30,69823224,11.8646,0,30,54131970,9.11771,42423110,42423110,0,0,
mcs30_r02_s30.A05,mcs30_r02_s30.B05,ll_none,14,29,138048700,22.6311,0,30,3113815,0.48137,83411779,83411779,0,0,
mcs30_r02_s30.A06,mcs30_r02_s30.B06,ll_none,15,28,58721385,10.3464,0,30,33293404,5.74848,35663731,35663731,0,0,
mcs30_r02_s30.A07,mcs30_r02_s30.B07,ll_none,14,27,81397931,13.7426,0,30,694710,0.110558,49700170,49700170,0,0,
mcs30_r02_s30.A08,mcs30_r02_s30.B08,ll_none,14,26,101454770,16.9305,0,30,19485,0.00287132,61759505,61759505,0,0,
mcs30_r02_s30.A09,mcs30_r02_s30.B09,ll_none,14,29,111823805,18.6366,0,30,2542303,0.391427,67908282,67908282,0,0,
mcs30_r02_s35.A00,mcs30_r02_s35.B00,ll_none,16,36,495898309,92.7259,0,35,55571865,9.81438,302517369,302517369,0,0,
mcs30_r02_s35.A01,mcs30_r02_s35.B01,ll_none,15,33,1117219512,268.417,0,35,32082127,7.35828,671291477,671291477,0,0,
mcs30_r02_s35.A02,mcs30_r02_s35.B02,ll_none,16,30,428258432,84.7002,0,35,29585003,5.41609,262080702,262080702,0,0,
mcs30_r02_s35.A03,mcs30_r02_s35.B03,ll_none,15,37,1097490935,194.035,0,35,4276591,0.701681,663352915,663352915,0,0,
mcs30_r02_s35.A04,mcs30_r02_s35.B04,ll_none,16,29,558407077,102.372,0,35,350183358,63.3965,338221261,338221261,0,0,
mcs30_r02_s35.A05,mcs30_r02_s35.B05,ll_none,16,31,772003574,142.112,0,35,407905169,73.3724,464317494,464317494,0,0,
mcs30_r02_s35.A06,mcs30_r02_s35.B06,ll_none,16,36,639445041,117.135,0,35,15178418,2.62472,388109082,388109082,0,0,
mcs30_r02_s35.A07,mcs30_r02_s35.B07,ll_none,16,38,503844263,94.8378,0,35,113118250,20.518,304511364,304511364,0,0,
mcs30_r02_s35.A08,mcs30_r02_s35.B08,ll_none,15,34,1030878772,182.914,0,35,1358979,0.223881,622611973,622611973,0,0,
mcs30_r02_s35.A09,mcs30_r02_s35.B09,ll_none,16,31,882843846,157.54,0,35,704780433,125.143,530104273,530104273,0,0,
mcs30_r02_s40.A00,mcs30_r02_s40.B00,ll_none,16,33,5239836842,1000.01,1,40,30735690,5.45895,3088617234,3088617234,0,0,
mcs30_r02_s40.A01,mcs30_r02_s40.B01,ll_none,17,35,5288105183,1000.02,1,40,4867341804,916.132,3109661837,3109661837,0,0,
mcs30_r02_s40.A02,mcs30_r02_s40.B02,ll_none,16,32,5233275260,1000.02,1,40,108098861,19.0269,3096383845,3096383845,0,0,
mcs30_r02_s40.A03,mcs30_r02_s40.B03,ll_none,16,29,5358405280,1000.02,1,40,48669459,8.58638,3175975505,3175975505,0,0,
mcs30_r02_s40.A04,mcs30_r02_s40.B04,ll_none,16,34,5222932356,1000.01,1,40,56077821,9.99311,3094227152,3094227152,0,0,
mcs30_r02_s40.A05,mcs30_r02_s40.B05,ll_none,17,34,4918583948,969.698,0,40,864311735,163.612,2968573662,2968573662,0,0,
mcs30_r02_s40.A06,mcs30_r02_s40.B06,ll_none,16,38,5269860098,1000.01,1,40,11670713,2.07273,3123092316,3123092316,0,0,
mcs30_r02_s40.A07,mcs30_r02_s40.B07,ll_none,16,40,5229564176,1000.01,1,40,2550175,0.456224,3109297830,3109297830,0,0,
mcs30_r02_s40.A08,mcs30_r02_s40.B08,ll_none,16,34,5390350988,1000.02,1,40,24956994,4.36968,3215414047,3215414047,0,0,
mcs30_r02_s40.A09,mcs30_r02_s40.B09,ll_none,16,32,2913380429,1000.01,1,40,242609327,85.011,1722513350,1722513350,0,0,
mcs30_r02_s50.A00,mcs30_r02_s50.B00,ll_none,17,34,4978095483,1000.02,1,50,558484522,107.125,2850621140,2850621140,0,0,
mcs30_r02_s50.A01,mcs30_r02_s50.B01,ll_none,17,46,5016063712,1000.02,1,50,546304085,101.82,2875605761,2875605761,0,0,
mcs30_r02_s50.A02,mcs30_r02_s50.B02,ll_none,17,35,5045112749,1000.02,1,50,15823294,2.972,2908656520,2908656520,0,0,
mcs30_r02_s50.A03,mcs30_r02_s50.B03,ll_none,17,40,5039027831,1000.02,1,50,325332350,60.488,2873406301,2873406301,0,0,
mcs30_r02_s50.A04,mcs30_r02_s50.B04,ll_none,17,39,4692304507,1000.02,1,50,119808461,24.2443,2714161466,2714161466,0,0,
mcs30_r02_s50.A05,mcs30_r02_s50.B05,ll_none,17,47,5065480168,1000.02,1,50,148942187,27.4642,2927241578,2927241578,0,0,
mcs30_r02_s50.A06,mcs30_r02_s50.B06,ll_none,17,40,5114151787,1000.01,1,50,24317798,4.45667,2972113994,2972113994,0,0,
mcs30_r02_s50.A07,mcs30_r02_s50.B07,ll_none,18,38,4794000380,1000.01,1,50,717788558,145.067,2762824584,2762824584,0,0,
mcs30_r02_s50.A08,mcs30_r02_s50.B08,ll_none,17,38,5101032888,1000.01,1,50,19145796,3.5461,2959090608,2959090608,0,0,
mcs30_r02_s50.A09,mcs30_r02_s50.B09,ll_none,17,40,5067025088,1000.02,1,50,377251278,70.2476,2908279285,2908279285,0,0,
mcs30_r02_s60.A00,mcs30_r02_s60.B00,ll_none,18,40,4782595063,1000.02,1,60,791501064,155.759,2666622142,2666622142,0,0,
mcs30_r02_s60.A01,mcs30_r02_s60.B01,ll_none,18,37,4887629466,1000.01,1,60,268888372,51.387,2743544863,2743544863,0,0,
mcs30_r02_s60.A02,mcs30_r02_s60.B02,ll_none,17,47,5104237755,1000.01,1,60,32454596,5.94866,2843563592,2843563592,0,0,
mcs30_r02_s60.A03,mcs30_r02_s60.B03,ll_none,18,39,4838751822,1000.02,1,60,1773755827,349.744,2684286067,2684286067,0,0,
mcs30_r02_s60.A04,mcs30_r02_s60.B04,ll_none,18,44,4779597990,1000.01,1,60,101928671,19.3487,2679323776,2679323776,0,0,
mcs30_r02_s60.A05,mcs30_r02_s60.B05,ll_none,18,40,4774491983,1000.02,1,60,90120502,17.4262,2687427877,2687427877,0,0,
mcs30_r02_s60.A06,mcs30_r02_s60.B06,ll_none,18,42,4867746157,1000.02,1,60,2310525476,457.853,2700795264,2700795264,0,0,
mcs30_r02_s60.A07,mcs30_r02_s60.B07,ll_none,18,42,4807290145,1000.01,1,60,297288688,56.8099,2690114175,2690114175,0,0,
mcs30_r02_s60.A08,mcs30_r02_s60.B08,ll_none,18,41,4863314702,1000.02,1,60,1091448282,208.87,2712181715,2712181715,0,0,
mcs30_r02_s60.A09,mcs30_r02_s60.B09,ll_none,18,49,4776997793,1000.02,1,60,1669002341,329.326,2686743911,2686743911,0,0,
mcs30_r02_s70.A00,mcs30_r02_s70.B00,ll_none,18,51,4792925201,1000.01,1,70,14332143,2.69622,2612215401,2612215401,0,0,
mcs30_r02_s70.A01,mcs30_r02_s70.B01,ll_none,19,52,4592896006,1000.01,1,70,1101834462,227.165,2526947396,2526947396,0,0,
mcs30_r02_s70.A02,mcs30_r02_s70.B02,ll_none,18,55,4899415214,1000.02,1,70,94421598,18.0131,2718674424,2718674424,0,0,
mcs30_r02_s70.A03,mcs30_r02_s70.B03,ll_none,18,47,4862981181,1000.01,1,70,15028844,2.84302,2654766468,2654766468,0,0,
mcs30_r02_s70.A04,mcs30_r02_s70.B04,ll_none,18,44,4874919609,1000.01,1,70,88201027,17.1851,2677717856,2677717856,0,0,
