instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_m4D_s60.A08,mcs30_m4D_s60.B08,symsplit_varonly,45,43,11004858467,1000.02,1,60,3148388364,279.513,7583293091,7583293091,112557427,0,
mcs30_m4D_s60.A09,mcs30_m4D_s60.B09,symsplit_varonly,45,39,11006196849,1000.01,1,60,1781336905,152.795,7446521316,7446521316,119672963,0,
mcs30_m4D_s70.A00,mcs30_m4D_s70.B00,symsplit_varonly,53,49,11185511090,1000.02,1,70,735852464,55.605,7383959393,7383959393,258070385,0,
mcs30_m4D_s70.A01,mcs30_m4D_s70.B01,symsplit_varonly,51,49,12050170107,1000.02,1,70,1673504559,132.204,8032931704,8032931704,130841035,0,
mcs30_m4D_s70.A02,mcs30_m4D_s70.B02,symsplit_varonly,50,47,12513515861,1000.01,1,70,283949057,21.4795,8095052947,8095052947,168182713,0,
mcs30_m4D_s70.A03,mcs30_m4D_s70.B03,symsplit_varonly,49,47,11484936729,1000.01,1,70,6103313101,517.701,7454340519,7454340519,251067707,0,
mcs30_m4D_s70.A04,mcs30_m4D_s70.B04,symsplit_varonly,51,38,11591171754,1000.01,1,70,11438652905,986.22,7853160131,7853160131,281654685,0,
mcs30_m4D_s70.A05,mcs30_m4D_s70.B05,symsplit_varonly,50,49,12342023501,1000.02,1,70,1062860423,78.889,8230554437,8230554437,149480507,0,
mcs30_m4D_s70.A06,mcs30_m4D_s70.B06,symsplit_varonly,51,42,12016104402,1000.02,1,70,10363552237,859.906,8331013372,8331013372,212794299,0,
mcs30_m4D_s70.A07,mcs30_m4D_s70.B07,symsplit_varonly,51,39,11902908685,1000,1,70,2279619835,186.44,8081030895,8081030895,239409327,0,
mcs30_m4D_s70.A08,mcs30_m4D_s70.B08,symsplit_varonly,51,39,11039180545,1000.01,1,70,9958139748,898.841,7366022903,7366022903,373393810,0,
mcs30_m4D_s70.A09,mcs30_m4D_s70.B09,symsplit_varonly,51,50,11756498311,1000.02,1,70,10561985950,897.943,7963397756,7963397756,185998884,0,
mcs30_m4D_s80.A00,mcs30_m4D_s80.B00,symsplit_varonly,59,52,12544661588,1000.02,1,80,3555816255,272.828,8550308344,8550308344,467356153,0,
mcs30_m4D_s80.A01,mcs30_m4D_s80.B01,symsplit_varonly,58,52,13869640686,1000.01,1,80,1315636791,94.4424,9727650584,9727650584,255169361,0,
mcs30_m4D_s80.A02,mcs30_m4D_s80.B02,symsplit_varonly,55,42,12540242503,1000.02,1,80,4784458792,334.102,9803601423,9803601423,635571705,0,
mcs30_m4D_s80.A03,mcs30_m4D_s80.B03,symsplit_varonly,58,51,12430096767,1000.02,1,80,10285178804,817.136,8018760867,8018760867,156454073,0,
mcs30_m4D_s80.A04,mcs30_m4D_s80.B04,symsplit_varonly,57,45,13559131652,1000.02,1,80,1042475216,67.3211,8705046077,8705046077,2126157442,0,
mcs30_m4D_s80.A05,mcs30_m4D_s80.B05,symsplit_varonly,58,52,12954676663,1000.01,1,80,9697573222,735.6,8750107529,8750107529,678053411,0,
mcs30_m4D_s80.A06,mcs30_m4D_s80.B06,symsplit_varonly,58,48,12535025361,1000.02,1,80,2176832809,126.97,9054549042,9054549042,323060245,0,
mcs30_m4D_s80.A07,mcs30_m4D_s80.B07,symsplit_varonly,57,51,10787475202,1000.01,1,80,110629217,9.09705,7488381245,7488381245,367300929,0,
mcs30_m4D_s80.A08,mcs30_m4D_s80.B08,symsplit_varonly,59,46,11217521340,1000.02,1,80,1318324739,106.293,7906876085,7906876085,450417358,0,
mcs30_m4D_s80.A09,mcs30_m4D_s80.B09,symsplit_varonly,56,53,10444914020,1000.02,1,80,114287709,9.34744,7404631223,7404631223,202655831,0,
